"","Scap_PJ_019","Scap_PJ_020","Scap_PJ_021","Scap_PJ_022","Scap_PJ_023","Scap_PJ_024","Scap_PJ_025","Scap_PJ_026","Scap_PJ_027"
"Scap_2C01_ad_00001",38104,36806,31934,29426,26314,30517,28407,30631,30921
"Scap_2C01_ad_00002",32303,32383,28402,27316,24292,28928,30242,31104,30801
"Scap_2C01_ad_00003",2456,2627,2483,2233,2062,2899,2784,2723,2621
"Scap_2C01_ad_00004",28654,29512,27034,26350,24134,28683,29765,30642,30572
"Scap_2C01_ad_00005",38242,39978,38801,33672,33948,37540,37540,36206,36970
"Scap_2C01_ad_00006",40303,43148,50252,38624,46377,53366,53751,43318,42572
"Scap_2C01_ad_00007",6860,6820,5733,6829,5808,6378,6949,7884,7465
"Scap_2C01_ad_00008",353,412,471,4415,5264,5412,7612,6139,5322
"Scap_2C01_ad_00009",79043,79162,67563,26725,25201,29180,29557,32978,32001
"Scap_2C01_ad_00010",574,636,595,3981,3909,4123,5047,4407,4250
"Scap_2C01_ad_00011",305,381,347,1841,1933,1961,2393,2213,2292
"Scap_2C01_ad_00012",234,236,240,1493,1285,1350,2275,2251,2107
"Scap_2C01_ad_00013",39143,38314,32556,43553,38188,45572,43087,46143,43926
"Scap_2C01_ad_00014",82621,86186,77912,81672,76000,88236,93350,96960,94770
"Scap_2C01_ad_00015",38172,41805,33259,34538,29813,32226,36352,39736,41279
"Scap_2C01_ad_00016",20203,22977,23557,24303,22772,26145,31670,31220,29936
"Scap_2C01_ad_00017",9687,9945,10036,23185,24670,26846,13317,15777,15056
"Scap_2C01_ad_00020",32154,32777,31329,43992,45031,51810,47400,47079,47153
"Scap_2C01_ad_00021",44168,45252,47149,56806,69243,73656,63004,52537,51954
"Scap_2C01_ad_00022",19746,20378,24251,24971,33888,35225,34342,25871,25752
"Scap_2C01_ad_00023",29208,27758,27106,26698,28334,29318,30165,29557,30790
"Scap_2C01_ad_00024",17361,17667,15896,7483,6833,7471,6957,7388,8059
"Scap_2C01_ad_00025",5591,5882,4671,5632,5004,5200,5197,5825,6291
"Scap_2C01_ad_00026",3258,3135,2808,2335,2022,2507,2813,3206,2860
"Scap_2C01_ad_00027",729,730,724,732,599,776,893,814,775
"Scap_2C01_ad_00028",286,303,286,270,257,324,343,367,352
"Scap_2C01_ad_00029",38,45,51,24,39,58,46,51,42
"Scap_2C01_ad_00030",847,1011,865,717,674,904,719,806,750
"Scap_2C01_ad_00031",5419,5382,4561,3202,3016,3580,2907,3229,3085
"Scap_2C01_ad_00032",4707,4807,4223,5428,4844,5895,5479,6040,5903
