"","Sepi_PJ_001","Sepi_PJ_002","Sepi_PJ_003","Sepi_PJ_004","Sepi_PJ_005","Sepi_PJ_006","Sepi_PJ_007","Sepi_PJ_008","Sepi_PJ_009"
"Sepi_9d05_aa_00001",41825,47604,36486,24141,35184,26894,14464,17816,16174
"Sepi_9d05_aa_00002",83079,84242,71510,52755,83250,69976,66662,63407,63892
"Sepi_9d05_aa_00003",8524,8158,7018,6038,9157,7605,5119,5379,5527
"Sepi_9d05_aa_00004",56358,55061,45455,42367,64719,53456,41346,43698,41119
"Sepi_9d05_aa_00005",71745,72560,52918,45533,71318,56849,40353,45597,41878
"Sepi_9d05_aa_00006",95685,99341,70592,58367,87689,68895,48223,57940,47965
"Sepi_9d05_aa_00007",6222,9284,7849,2460,3840,3233,1889,2008,2045
"Sepi_9d05_aa_00008",255118,194241,180826,56029,78078,68310,143413,127172,127549
"Sepi_9d05_aa_00009",1633,1447,1326,778,1297,1080,22879,21108,19222
"Sepi_9d05_aa_00010",922,847,582,1662,2246,2114,1339,1630,1744
"Sepi_9d05_aa_00011",511,359,307,889,1251,1022,769,860,953
"Sepi_9d05_aa_00012",848,373,256,4791,5611,4632,4549,5516,4857
"Sepi_9d05_aa_00013",49826,48454,44315,27682,47425,39991,26689,27694,28568
"Sepi_9d05_aa_00014",146529,160876,152478,94292,158852,132108,117450,114739,113540
"Sepi_9d05_aa_00015",45630,47763,44519,23770,41900,33932,31297,30694,29366
"Sepi_9d05_aa_00016",32504,35986,30759,20862,33585,26966,20577,20730,18935
"Sepi_9d05_aa_00017",13808,21308,15235,19676,29772,19446,5437,6448,5279
"Sepi_9d05_aa_00020",28219,25111,21311,26967,41438,34344,27326,28660,29146
"Sepi_9d05_aa_00021",63033,62110,48739,61841,96712,76505,56277,62796,57778
"Sepi_9d05_aa_00022",36695,39836,29532,29670,48026,36471,23372,28044,25385
"Sepi_9d05_aa_00023",18459,20457,15274,15433,25102,19518,13030,14936,12632
"Sepi_9d05_aa_00024",8911,11199,10514,5244,8747,7117,4589,4494,4963
"Sepi_9d05_aa_00025",2219,2348,2238,4885,8001,6638,5288,5768,5991
"Sepi_9d05_aa_00026",1276,1380,1401,1861,2952,2525,1935,2044,2134
"Sepi_9d05_aa_00027",968,1196,1106,1006,1554,1339,1107,1110,1012
"Sepi_9d05_aa_00028",237,310,322,258,365,354,293,257,194
"Sepi_9d05_aa_00029",180,245,294,180,223,226,143,113,145
"Sepi_9d05_aa_00030",10192,9254,9406,8057,11312,9624,11466,10313,11959
"Sepi_9d05_aa_00031",102037,98881,96793,42843,78964,66144,60154,63684,68444
"Sepi_9d05_aa_00032",12843,13466,12543,465,819,673,4088,4326,3493
"Sepi_9d05_aa_00033",12168,10413,9597,3560,6055,4986,5273,5130,5213
"Sepi_9d05_aa_00034",1232,1024,957,432,866,756,636,699,632
"Sepi_9d05_aa_00035",40,37,20,7,15,22,14,18,8
"Sepi_9d05_aa_00036",9,20,15,5,13,9,8,3,5
"Sepi_9d05_aa_00037",5,9,11,5,10,6,3,3,2
"Sepi_9d05_aa_00038",39,46,54,38,43,49,26,29,19
"Sepi_9d05_aa_00039",39,69,64,33,39,37,33,26,23
"Sepi_9d05_aa_00040",276,447,540,215,301,284,274,256,237
"Sepi_9d05_aa_00041",669,1063,972,1793,2457,1980,1261,1162,1125
"Sepi_9d05_aa_00042",8277,8559,8384,3111,5481,4911,3310,3490,3780
"Sepi_9d05_aa_00043",142002,168057,160595,33353,60248,53178,21672,23252,23440
"Sepi_9d05_aa_00044",5743,5772,7042,5720,9306,8388,6604,6357,6437
"Sepi_9d05_aa_00045",106659,103560,100267,47837,87957,73728,65497,69532,73862
"Sepi_9d05_aa_00046",2815,2828,2823,3439,5568,5028,3287,3494,3621
"Sepi_9d05_aa_00047",64165,58569,52523,19493,35238,30980,30475,31810,30104
"Sepi_9d05_aa_00048",103662,99981,94521,34521,63883,54278,56779,55838,54798
"Sepi_9d05_aa_00049",14879,14368,13694,6931,11336,9793,8203,8477,8584
"Sepi_9d05_aa_00050",43,61,62,35,62,48,25,28,27
"Sepi_9d05_aa_00051",63,79,76,46,68,59,32,45,40
"Sepi_9d05_aa_00052",3712,4059,3558,2250,3686,3110,2645,3035,2899
"Sepi_9d05_aa_00053",396,572,529,162,281,289,192,189,202
"Sepi_9d05_aa_00054",496,728,693,220,476,333,273,236,281
"Sepi_9d05_aa_00055",233,303,334,109,161,146,140,109,108
"Sepi_9d05_aa_00056",380,597,654,228,398,378,251,209,276
"Sepi_9d05_aa_00057",764,923,837,315,551,464,372,396,381
"Sepi_9d05_aa_00058",6339,5875,5071,17564,25049,20083,5105,5451,4918
"Sepi_9d05_aa_00059",47046,39232,31358,167433,249422,192566,39308,47784,42596
"Sepi_9d05_aa_00060",3621,1834,1462,16390,28310,21515,1662,2241,2061
"Sepi_9d05_aa_00061",2392,1655,1166,13608,21405,15788,1251,1673,1411
"Sepi_9d05_aa_00062",1114,866,653,7339,11984,8793,785,900,900
"Sepi_9d05_aa_00063",484,626,627,499,638,556,769,592,598
"Sepi_9d05_aa_00064",1221,1771,1652,196,296,214,74,99,71
"Sepi_9d05_aa_00065",611,696,596,209,346,306,215,246,227
"Sepi_9d05_aa_00066",18673,13485,11322,161763,116004,86606,234498,202775,183129
"Sepi_9d05_aa_00067",17127,12091,9416,143521,105064,76497,190480,192367,152257
"Sepi_9d05_aa_00068",3497,2677,2248,39737,25005,18382,45938,44200,35933
"Sepi_9d05_aa_00069",12780,9092,6059,123855,74703,52631,121774,143468,109984
"Sepi_9d05_aa_00070",24431,17025,12430,279670,193261,134610,402138,426051,370467
"Sepi_9d05_aa_00071",733,805,801,927,1438,1227,983,1088,1100
"Sepi_9d05_aa_00072",542,669,526,360,566,477,401,424,351
"Sepi_9d05_aa_00073",963,1285,1101,845,1286,1071,818,847,805
"Sepi_9d05_aa_00074",1921,2921,2521,1421,2266,1792,1335,1406,1341
"Sepi_9d05_aa_00075",4346,6545,5115,2526,4362,3262,2245,2489,2223
"Sepi_9d05_aa_00076",2917,4271,3320,1762,2675,1899,1373,1525,1346
"Sepi_9d05_aa_00077",1486,2291,1469,756,1198,866,499,584,501
"Sepi_9d05_aa_00078",1566,2256,1875,661,1023,842,493,584,556
"Sepi_9d05_aa_00079",2881,4253,3581,980,1721,1353,916,928,788
"Sepi_9d05_aa_00080",3728,4522,4109,21091,24064,20021,4419,4487,4524
"Sepi_9d05_aa_00081",1843,2034,1613,3658,4460,3944,1045,1102,1017
"Sepi_9d05_aa_00082",718,679,659,676,1058,950,955,874,938
"Sepi_9d05_aa_00083",218,206,227,354,467,402,595,486,420
"Sepi_9d05_aa_00084",2262,1665,1604,1474,2366,2112,2906,2781,2559
