ID,category,SCNIH004,SCNIH009,SCNIH016,NIHLM087,SENIH040,SENIH047,SHNIH025,SHNIH027,SHNIH030
S0000,genus_core,1,3,3,3,1,1,1,1,1
S0001,genus_core,2,3,2,1,2,1,1,1,1
S0002,genus_core,1,1,1,1,1,1,3,1,1
S0003,genus_core,1,1,1,1,1,1,3,1,1
S0004,genus_core,2,1,1,2,1,1,1,1,1
S0005,genus_core,1,1,1,1,1,1,1,1,3
S0006,genus_core,1,1,2,2,2,2,2,2,2
S0008,genus_core,3,1,3,3,3,3,3,1,3
S0009,genus_core,1,1,1,3,3,3,1,1,1
S0010,genus_core,1,1,1,3,1,3,1,1,1
S0014,genus_core,3,3,3,1,1,1,1,1,3
S0015,genus_core,1,1,3,1,1,1,1,1,1
S0016,genus_core,1,1,1,1,1,1,2,1,1
S0020,genus_core,1,1,2,2,1,1,2,1,2
S0021,genus_core,1,1,1,3,1,1,1,1,1
S0022,genus_core,1,1,1,3,3,1,1,1,1
S0023,genus_core,1,1,1,3,1,3,1,1,1
S0026,genus_core,1,1,1,1,1,2,1,1,1
S0028,genus_core,2,2,2,2,2,2,2,2,2
S0031,genus_core,2,2,2,2,2,1,2,1,2
S0032,genus_core,1,1,1,1,1,1,1,1,3
S0033,genus_core,1,1,1,1,1,1,1,1,3
S0037,genus_core,1,1,1,2,1,1,1,1,1
S0038,genus_core,1,1,2,2,1,2,2,1,1
S0039,genus_core,2,2,2,2,1,2,2,1,2
S0040,genus_core,2,2,2,2,1,1,2,1,1
S0041,genus_core,2,1,2,2,1,1,2,1,1
S0042,genus_core,2,2,2,2,2,2,2,2,2
S0044,genus_core,1,1,1,1,1,1,1,1,3
S0045,genus_core,1,1,1,1,1,1,1,1,3
S0050,genus_core,1,1,1,1,1,1,1,1,3
S0052,genus_core,2,1,2,2,2,1,2,2,2
S0053,genus_core,1,1,1,1,2,1,1,1,1
S0055,genus_core,1,1,1,3,1,1,1,1,1
S0058,genus_core,1,1,1,2,1,1,1,1,1
S0059,genus_core,2,3,1,1,2,1,1,1,3
S0060,genus_core,1,1,1,1,2,1,1,1,1
S0061,genus_core,2,2,2,2,2,2,1,1,2
S0063,genus_core,1,1,1,3,1,3,3,1,3
S0065,genus_core,1,1,3,3,1,3,1,1,3
S0066,genus_core,1,1,1,1,1,1,1,1,2
S0067,genus_core,1,1,1,2,1,2,1,1,2
S0068,genus_core,1,1,1,1,1,1,2,1,1
S0069,genus_core,1,1,3,3,3,3,1,1,3
S0070,genus_core,1,1,1,1,1,1,1,1,3
S0072,genus_core,1,1,1,1,1,1,1,3,3
S0073,genus_core,1,1,1,3,1,1,1,1,3
S0074,genus_core,1,1,1,1,2,1,1,1,1
S0075,genus_core,1,1,1,2,2,1,1,1,3
S0076,genus_core,1,3,1,1,1,1,2,1,1
S0077,genus_core,2,1,2,2,2,1,2,2,2
S0078,genus_core,1,1,2,1,1,1,1,1,1
S0079,genus_core,2,1,2,2,1,1,2,2,1
S0080,genus_core,1,1,1,1,2,1,1,1,1
S0086,genus_core,3,3,3,3,3,3,1,3,1
S0087,genus_core,3,1,3,3,3,3,1,3,1
S0088,genus_core,1,1,2,1,1,1,3,1,1
S0089,genus_core,2,2,2,2,2,2,2,2,2
S0090,genus_core,1,1,2,2,2,2,2,2,2
S0091,genus_core,1,1,1,2,1,1,1,1,1
S0092,genus_core,1,1,1,2,1,1,1,1,1
S0095,genus_core,1,1,1,1,1,1,2,1,1
S0096,genus_core,1,1,1,1,1,1,1,1,2
S0098,genus_core,1,1,1,3,1,3,1,1,1
S0099,genus_core,1,1,1,3,1,1,1,1,1
S0100,genus_core,1,1,1,3,3,1,1,1,3
S0101,genus_core,1,1,3,3,3,3,1,1,3
S0102,genus_core,1,1,3,3,3,3,1,1,3
S0103,genus_core,1,3,3,1,1,1,1,1,1
S0105,genus_core,1,1,3,3,3,3,1,1,1
S0106,genus_core,1,1,1,3,3,3,1,1,1
S0107,genus_core,1,1,3,1,1,1,1,1,1
S0115,genus_core,1,1,1,1,1,3,1,1,3
S0116,genus_core,1,1,1,1,1,3,1,1,3
S0118,genus_core,1,1,1,1,1,3,1,1,1
S0120,genus_core,1,1,3,3,3,3,1,1,3
S0121,genus_core,1,1,3,3,3,3,1,1,3
S0122,genus_core,1,1,1,3,3,3,1,1,1
S0127,genus_core,1,1,3,3,1,1,1,1,3
S0128,genus_core,1,1,3,3,1,1,1,1,3
S0129,genus_core,1,1,1,3,1,1,1,1,1
S0130,genus_core,1,1,3,3,1,1,1,1,1
S0131,genus_core,3,1,3,1,1,1,1,1,1
S0132,genus_core,2,1,2,1,1,1,1,1,1
S0135,genus_core,1,1,1,1,1,3,1,1,3
S0136,genus_core,1,1,1,1,1,3,1,1,3
S0137,genus_core,1,1,3,1,1,1,1,1,1
S0138,genus_core,1,1,1,2,1,1,1,1,1
S0140,species_restricted_core,2,1,2,2,1,1,0,0,0
S0141,genus_core,2,2,2,2,2,1,1,2,1
S0150,genus_core,1,1,1,1,1,1,1,1,3
S0151,genus_core,1,1,1,1,1,1,1,1,3
S0152,genus_core,1,1,1,3,1,1,1,1,1
S0153,genus_core,1,1,1,3,1,3,1,1,1
S0154,genus_core,2,1,2,2,2,2,1,1,1
S0155,genus_core,2,1,2,2,2,2,1,1,1
S0156,genus_core,2,1,2,2,2,2,1,1,1
S0157,genus_core,2,1,2,2,2,2,1,1,1
S0158,genus_core,2,1,2,2,2,2,1,1,1
S0159,genus_core,2,1,2,2,2,2,1,1,1
S0161,genus_core,1,1,1,3,1,3,1,1,1
