"","Shom_PJ_011","Shom_PJ_012","Shom_PJ_013","Shom_PJ_014","Shom_PJ_015","Shom_PJ_016","Shom_PJ_017","Shom_PJ_018","Shom_PJ_019"
"Shom_DM18D10_00001",9360,6657,14516,2024,2181,2946,2294,2679,3980
"Shom_DM18D10_00002",1206,745,1762,379,443,508,530,563,581
"Shom_DM18D10_00003",2572,1797,3757,1829,1700,1612,2044,2086,2195
"Shom_DM18D10_00004",1880,1319,2803,1403,1346,1226,1736,1497,1485
"Shom_DM18D10_00005",822,514,1160,690,621,552,771,812,776
"Shom_DM18D10_00006",593,422,750,409,395,374,498,535,499
"Shom_DM18D10_00007",115215,74646,154631,75634,75474,68355,88541,87499,87329
"Shom_DM18D10_00008",8397,5428,11647,5951,5825,5393,6706,6465,6006
"Shom_DM18D10_00009",23417,17668,25999,21898,17494,22023,28533,28023,31654
"Shom_DM18D10_00010",435669,299658,363323,251059,216045,291511,379439,314596,364878
"Shom_DM18D10_00011",99491,68393,78085,52729,47627,53987,75920,69801,75042
"Shom_DM18D10_00012",6684,11489,9802,5823,6852,3447,7569,6321,6027
"Shom_DM18D10_00013",5310,8092,6936,5976,6833,3728,7736,5891,6050
"Shom_DM18D10_00014",10178,12366,16730,9997,10279,8592,9326,8339,11438
"Shom_DM18D10_00015",9298,5535,10125,7432,7270,7862,7467,7497,10363
"Shom_DM18D10_00016",7383,5942,8959,6132,5783,4776,6510,5644,6162
"Shom_DM18D10_00017",18431,15113,22124,17465,16546,13065,17863,15170,16509
"Shom_DM18D10_00018",11159,9300,14338,12591,12999,9616,10930,9823,11800
"Shom_DM18D10_00019",202252,323295,156892,35293,39308,22849,83220,75833,44040
"Shom_DM18D10_00020",30038,39118,20462,49379,45779,50634,105196,120695,91025
"Shom_DM18D10_00021",11502,19690,7189,19236,17530,15110,40052,44607,36690
"Shom_DM18D10_00022",8339,6682,9913,3799,3544,3245,4883,4204,4250
"Shom_DM18D10_00023",21172,17156,24588,10529,9826,8758,13030,10900,11282
"Shom_DM18D10_00024",30490,26653,42949,14038,14284,12428,15092,13130,16575
"Shom_DM18D10_00025",9315,7426,9996,5436,5103,4987,7092,6610,7754
"Shom_DM18D10_00026",12393,10083,13567,7670,7280,6885,9665,8165,9951
"Shom_DM18D10_00027",50748,41076,59243,29395,29118,27564,33570,33582,37303
"Shom_DM18D10_00028",9566,5101,11472,4883,4855,5030,5492,5985,4800
"Shom_DM18D10_00029",2633,1373,2554,2196,2048,2190,3340,3692,2831
"Shom_DM18D10_00030",16847,14465,17849,14286,13824,13286,20495,16472,15846
