"","Shom_PJ_020","Shom_PJ_021","Shom_PJ_022","Shom_PJ_023","Shom_PJ_024","Shom_PJ_025","Shom_PJ_026","Shom_PJ_027","Shom_PJ_028"
"Shom_DM21B05_00001",10353,7942,8398,4585,4383,4090,5694,5334,4151
"Shom_DM21B05_00002",918,801,676,690,566,672,1161,938,391
"Shom_DM21B05_00003",2424,1806,1558,2304,2098,1613,1793,2001,1358
"Shom_DM21B05_00004",1899,1434,1217,1918,1744,1353,1609,1659,1170
"Shom_DM21B05_00005",636,495,379,637,681,472,775,839,369
"Shom_DM21B05_00006",805,652,538,854,807,584,551,648,530
"Shom_DM21B05_00007",102473,83891,68660,107527,100711,93866,85608,114272,77191
"Shom_DM21B05_00008",15326,13102,10636,16499,15487,14458,12322,16470,11758
"Shom_DM21B05_00009",3051,2536,1667,6403,6596,2878,9361,11850,6559
"Shom_DM21B05_00010",1,0,1,5,10,4,7,14,10
"Shom_DM21B05_00011",727602,593832,674740,309627,279532,372027,132655,122832,220526
"Shom_DM21B05_00012",127494,105378,128661,59464,52763,63666,27359,27922,38985
"Shom_DM21B05_00013",14589,10951,12318,8109,8640,5181,3373,3164,6038
"Shom_DM21B05_00014",8589,6864,7247,5714,6058,3656,2482,3060,4133
"Shom_DM21B05_00015",13568,10900,11822,9559,9960,6572,5464,6277,7453
"Shom_DM21B05_00016",7019,5818,4912,7746,7393,6167,8430,15860,6286
"Shom_DM21B05_00017",6742,5431,5974,4611,4618,3480,3908,3751,3128
"Shom_DM21B05_00018",16931,14157,15555,13164,12693,9537,11026,10546,8785
"Shom_DM21B05_00019",10637,8950,9806,9399,8933,7003,7311,7742,6325
"Shom_DM21B05_00020",215712,133294,54678,57685,52548,45809,36014,42048,50419
"Shom_DM21B05_00021",51129,37306,23293,64625,60871,58215,53372,58585,61119
"Shom_DM21B05_00022",8898,6566,3975,11690,10700,7830,7420,10292,10587
"Shom_DM21B05_00023",5790,4312,4237,2958,3007,2349,2513,2811,2604
"Shom_DM21B05_00024",17133,12551,13207,9372,9628,7770,8546,9799,8492
"Shom_DM21B05_00025",23261,18131,19167,12012,12827,9823,8582,10010,11523
"Shom_DM21B05_00026",11421,8756,8486,7040,7085,6346,6476,6900,6471
"Shom_DM21B05_00027",11213,8310,8104,7288,7190,6140,6921,7595,5844
"Shom_DM21B05_00028",65423,49721,47694,43504,44053,39536,41017,47128,37055
