"","Sepi_PJ_019","Sepi_PJ_020","Sepi_PJ_021","Sepi_PJ_022","Sepi_PJ_023","Sepi_PJ_024","Sepi_PJ_025","Sepi_PJ_026","Sepi_PJ_027"
"Sepi_DM21B07_00001",60761,54719,68958,41600,43016,47641,57638,62103,52282
"Sepi_DM21B07_00002",50243,41921,49694,34249,39925,40400,48178,51437,42720
"Sepi_DM21B07_00003",6731,5717,5972,5688,7248,7099,6720,7086,5660
"Sepi_DM21B07_00004",47569,42781,39844,42492,50175,50309,45618,49652,41252
"Sepi_DM21B07_00005",55564,59209,41540,42766,50926,49849,44572,46471,38394
"Sepi_DM21B07_00006",72699,78706,54098,54519,61978,62802,53266,55102,45175
"Sepi_DM21B07_00007",8192,8019,8985,3836,5193,4958,4957,5430,4356
"Sepi_DM21B07_00008",178041,114774,132537,70826,75894,71920,84612,85432,71092
"Sepi_DM21B07_00009",1847,1160,1548,548,524,585,3895,1665,1465
"Sepi_DM21B07_00010",902,790,897,1117,1517,1338,1972,1824,1626
"Sepi_DM21B07_00011",411,377,427,414,552,512,1138,1000,812
"Sepi_DM21B07_00012",234,252,201,1720,1729,1693,1987,1662,1243
"Sepi_DM21B07_00013",28038,23062,25779,21625,26184,27807,27051,27729,23040
"Sepi_DM21B07_00014",144930,125153,138255,93747,105322,110095,123977,125488,104754
"Sepi_DM21B07_00015",35196,30737,32814,19234,22545,22615,25314,24868,20686
"Sepi_DM21B07_00016",23857,22425,22607,15750,17066,19179,20988,20623,17027
"Sepi_DM21B07_00017",22026,27888,18534,35782,41649,43632,34109,41679,34973
"Sepi_DM21B07_00020",22117,19889,19306,30548,34772,34470,31389,31675,26268
"Sepi_DM21B07_00021",60351,61576,47916,72343,79626,77237,72516,72269,60138
"Sepi_DM21B07_00022",43181,45462,31867,37413,43865,39550,39081,39745,33437
"Sepi_DM21B07_00023",29724,28492,24362,25535,27071,27349,25027,25429,20958
"Sepi_DM21B07_00024",6584,5720,6390,4037,5525,5346,6125,6119,5095
"Sepi_DM21B07_00025",1807,1353,1625,2025,2373,2140,2434,2598,2269
"Sepi_DM21B07_00026",791,659,656,784,954,938,953,1026,864
"Sepi_DM21B07_00027",3330,2855,2910,2671,3378,3344,3648,4236,3508
"Sepi_DM21B07_00028",10040,8797,8720,6110,7875,7520,8715,9951,8287
"Sepi_DM21B07_00029",210,182,266,127,145,147,177,211,169
"Sepi_DM21B07_00030",99,123,143,63,94,88,95,117,86
"Sepi_DM21B07_00031",565,561,579,242,366,358,488,498,396
"Sepi_DM21B07_00032",48,42,53,20,30,34,33,38,29
"Sepi_DM21B07_00033",1907,1469,1750,831,1110,1032,1284,1370,1239
"Sepi_DM21B07_00034",1,0,2,2,0,4,7,13,11
"Sepi_DM21B07_00035",43,40,52,17,19,28,30,28,26
"Sepi_DM21B07_00036",69,44,60,30,21,26,51,54,61
"Sepi_DM21B07_00037",71,90,83,67,85,84,99,147,112
"Sepi_DM21B07_00038",704,495,532,526,585,539,783,932,677
"Sepi_DM21B07_00039",117,77,66,75,111,115,103,113,78
"Sepi_DM21B07_00040",249,192,231,194,245,262,274,280,237
"Sepi_DM21B07_00041",1305,1063,1000,744,984,974,1084,1145,964
"Sepi_DM21B07_00042",2589,2121,2268,1256,1738,1740,2050,2144,1761
