"","Scap_PJ_001","Scap_PJ_002","Scap_PJ_003","Scap_PJ_004","Scap_PJ_005","Scap_PJ_006","Scap_PJ_007","Scap_PJ_008","Scap_PJ_009"
"Scap_DM21G11_00001",45812,55308,68330,36494,26904,44670,28384,28753,29189
"Scap_DM21G11_00002",42988,48102,53958,39065,28099,46216,34143,33709,31270
"Scap_DM21G11_00003",5353,5783,6327,4974,3206,4862,3230,3226,3173
"Scap_DM21G11_00004",38809,40240,43448,38788,28102,45847,29182,29662,28453
"Scap_DM21G11_00005",45742,48643,52949,52325,36402,63466,41817,41201,43938
"Scap_DM21G11_00006",72643,76726,76956,69454,46124,79972,52267,46598,47669
"Scap_DM21G11_00007",8830,10588,13247,7565,6615,9594,6496,7406,5466
"Scap_DM21G11_00008",1181,1337,1222,15888,12821,21497,7044,5365,5305
"Scap_DM21G11_00009",191896,168697,170052,40806,29261,46870,39179,38698,38335
"Scap_DM21G11_00010",741,818,704,1774,1139,1852,1826,1776,1755
"Scap_DM21G11_00011",521,538,606,916,660,1195,1220,1290,1462
"Scap_DM21G11_00012",775,797,818,4598,3053,4619,5532,5453,5240
"Scap_DM21G11_00013",37358,41342,49126,52558,42131,70192,49055,54125,57717
"Scap_DM21G11_00014",78435,88705,101816,106536,76192,128750,87261,82877,84872
"Scap_DM21G11_00015",30404,33785,37722,40227,28873,49052,35849,34399,36202
"Scap_DM21G11_00016",18493,18259,18423,30326,20327,33349,24546,21759,22114
"Scap_DM21G11_00017",15173,14515,20909,25608,21212,30754,27860,24884,19353
"Scap_DM21G11_00020",38335,39591,44063,52240,37293,61007,39380,37118,35946
"Scap_DM21G11_00021",62185,60924,60384,69835,47488,82552,57440,52022,55202
"Scap_DM21G11_00022",32351,32222,29997,32584,21265,39769,29999,25839,27432
"Scap_DM21G11_00023",22546,24557,27396,24483,17957,30870,24136,23241,23072
"Scap_DM21G11_00024",8881,9088,10388,7247,4989,8392,6669,6256,6410
"Scap_DM21G11_00025",4576,4548,5840,5576,4017,7472,5609,5977,6065
"Scap_DM21G11_00026",35172,39709,49434,24461,17544,28141,22950,22345,22202
"Scap_DM21G11_00027",13864,16549,19260,5456,4227,6472,5711,5749,6009
"Scap_DM21G11_00028",7,11,4,6,1,6,8,6,5
"Scap_DM21G11_00029",34,23,40,21,19,28,25,22,20
"Scap_DM21G11_00030",75,82,108,76,46,114,88,82,87
"Scap_DM21G11_00031",10,11,18,9,7,20,10,11,12
"Scap_DM21G11_00032",48,56,64,70,44,84,57,57,56
"Scap_DM21G11_00033",7333,8262,8852,4887,3797,6186,4902,4637,4515
"Scap_DM21G11_00034",7359,8133,9429,6055,4416,7619,5778,5885,5912
"Scap_DM21G11_00035",2048,2224,2707,2272,1778,2713,2401,2612,2262
"Scap_DM21G11_00036",1082,1155,1855,1794,1583,2363,2275,2449,2383
"Scap_DM21G11_00037",998,1060,1376,1235,831,1377,1168,1022,1006
"Scap_DM21G11_00038",204,221,314,234,201,304,270,309,272
"Scap_DM21G11_00039",4732,5281,6014,2759,2455,3816,2861,3143,2973
"Scap_DM21G11_00040",2281,2611,3052,2866,2201,3636,3111,3116,2859
"Scap_DM21G11_00041",352,408,450,310,233,358,320,286,269
"Scap_DM21G11_00042",2074,2369,2511,1162,895,1435,1083,1102,982
"Scap_DM21G11_00043",6291,7195,7443,3375,2630,4006,2990,3196,2884
"Scap_DM21G11_00044",5748,6849,7950,23734,18037,27156,16159,16557,14969
"Scap_DM21G11_00045",8877,9879,11028,19945,15472,23304,13630,14504,13436
"Scap_DM21G11_00046",2534,2680,2535,2665,1781,2574,1565,1506,1232
"Scap_DM21G11_00047",3302,3483,4233,3513,2467,3723,2971,2595,2336
"Scap_DM21G11_00048",5707,6838,9279,6436,4900,8003,6050,6017,5370
"Scap_DM21G11_00049",2305,2689,3433,2486,2138,3447,2355,2603,2400
"Scap_DM21G11_00050",409,477,608,387,369,599,398,446,365
"Scap_DM21G11_00051",13649,15528,18397,15188,12774,19945,13869,15107,13250
"Scap_DM21G11_00052",2035,2155,2588,2191,1700,2724,2032,2280,1956
"Scap_DM21G11_00053",2574,3004,3116,2141,1775,2765,2204,2742,2597
"Scap_DM21G11_00054",1751,1934,2109,1350,1186,1948,1502,1839,1699
"Scap_DM21G11_00055",496,573,597,411,282,402,469,473,383
"Scap_DM21G11_00056",68,69,84,52,36,36,49,48,48
"Scap_DM21G11_00057",877,1002,1078,523,495,698,777,976,879
"Scap_DM21G11_00058",12265,13772,16211,11519,9901,15803,11432,13256,13064
"Scap_DM21G11_00059",31784,34973,39811,28003,23534,36595,26489,29521,27594
"Scap_DM21G11_00060",8394,10325,11162,7967,7097,9220,13045,14297,12578
"Scap_DM21G11_00061",1921,2325,2676,1768,1585,2194,2822,2911,2837
"Scap_DM21G11_00062",9606,11257,12875,9303,7650,11804,13916,14918,16000
"Scap_DM21G11_00063",18236,22537,28752,20833,19297,31618,35612,39809,41573
"Scap_DM21G11_00064",9020,11080,15930,11324,8859,13796,15774,15441,16133
