"","Scap_PJ_010","Scap_PJ_011","Scap_PJ_012","Scap_PJ_013","Scap_PJ_014","Scap_PJ_015","Scap_PJ_016","Scap_PJ_017","Scap_PJ_018"
"Scap_LM7D7_a_00001",37202,39465,34110,24972,29663,28552,27729,33003,27986
"Scap_LM7D7_a_00002",34957,39292,36281,29540,35880,34173,32710,33220,34819
"Scap_LM7D7_a_00003",3748,4100,3182,2336,2802,2673,2783,3866,3056
"Scap_LM7D7_a_00004",28928,33972,29279,24876,28819,27366,33789,34363,34469
"Scap_LM7D7_a_00005",30776,39470,38260,33347,35957,34625,37741,41296,42234
"Scap_LM7D7_a_00006",46202,57818,52516,45691,45002,41832,49355,62182,60616
"Scap_LM7D7_a_00007",5535,6434,5446,6558,9481,8161,6686,8809,5688
"Scap_LM7D7_a_00008",831,1106,1022,4775,3872,3427,4416,6270,4925
"Scap_LM7D7_a_00009",44567,54529,43434,19086,25539,22087,48100,40985,53736
"Scap_LM7D7_a_00010",836,993,762,1683,1703,1506,1149,999,1014
"Scap_LM7D7_a_00011",476,562,474,960,887,902,550,568,584
"Scap_LM7D7_a_00012",482,643,548,725,843,741,1471,594,736
"Scap_LM7D7_a_00013",40099,42627,36299,47271,64342,62564,42224,39739,40944
"Scap_LM7D7_a_00014",99413,110577,106248,105035,129684,124964,110660,107164,109850
"Scap_LM7D7_a_00015",37005,44447,57081,48546,56831,54812,40742,43235,48147
"Scap_LM7D7_a_00016",18789,23548,26790,26144,29308,25899,23065,30935,29059
"Scap_LM7D7_a_00017",7796,12052,11796,26535,15469,29818,30870,16706,56450
"Scap_LM7D7_a_00020",30175,33934,25910,44736,47570,44800,36377,38710,35534
"Scap_LM7D7_a_00021",35429,43461,35170,58213,52611,51262,42533,51847,43657
"Scap_LM7D7_a_00022",20136,25441,21927,36147,32955,29978,27814,33832,30052
"Scap_LM7D7_a_00023",24466,29884,25258,38603,40701,35502,33554,37333,36010
"Scap_LM7D7_a_00024",8587,10906,7913,5321,7077,6275,5398,7165,5015
"Scap_LM7D7_a_00025",2240,2787,3074,3065,3717,3906,3553,2933,3458
"Scap_LM7D7_a_00026",1470,1788,962,1371,1665,1683,1912,1659,1901
"Scap_LM7D7_a_00027",1107,1345,934,650,794,764,1176,1266,1208
"Scap_LM7D7_a_00028",365,452,329,271,337,320,389,367,398
"Scap_LM7D7_a_00029",288,353,206,183,233,234,248,306,286
"Scap_LM7D7_a_00030",5697,7124,4979,5908,7018,6580,7260,6399,7484
"Scap_LM7D7_a_00031",4773,5635,4554,2694,3521,3148,4008,3706,3877
"Scap_LM7D7_a_00032",2074,2655,1776,1544,2071,1850,2015,1708,1984
"Scap_LM7D7_a_00033",2146,2521,1646,1489,2046,1771,2124,1660,1933
"Scap_LM7D7_a_00034",156,192,144,196,213,217,264,199,256
"Scap_LM7D7_a_00035",445,463,402,283,337,323,335,346,320
"Scap_LM7D7_a_00036",1816,2066,1165,1007,1316,1326,1613,1783,1583
"Scap_LM7D7_a_00037",13664,16347,10799,6545,8879,8718,10058,10494,10821
"Scap_LM7D7_a_00038",311,408,283,416,500,456,488,468,497
"Scap_LM7D7_a_00039",149,172,137,119,167,157,179,178,163
"Scap_LM7D7_a_00040",940,1104,940,944,1178,1121,1166,1184,1112
"Scap_LM7D7_a_00041",73,97,42,55,63,50,91,119,87
"Scap_LM7D7_a_00042",2152,2629,2167,2406,2981,2801,2786,2732,2465
"Scap_LM7D7_a_00043",3,3,2,4,6,6,3,2,3
"Scap_LM7D7_a_00044",90,117,106,127,178,143,85,67,95
"Scap_LM7D7_a_00045",30,28,29,45,58,59,21,18,34
"Scap_LM7D7_a_00046",42,43,43,93,88,105,50,55,57
"Scap_LM7D7_a_00047",203,236,199,383,466,506,311,341,377
"Scap_LM7D7_a_00048",56619,65230,60334,72405,99154,87854,65847,65205,61695
"Scap_LM7D7_a_00049",5274,6786,6961,9922,10446,8883,6309,6231,8073
"Scap_LM7D7_a_00050",6190,8536,8599,11791,12711,10684,7378,7249,9594
"Scap_LM7D7_a_00051",5627,7850,9047,7921,8616,7225,6199,6218,7934
"Scap_LM7D7_a_00052",6877,8560,7949,10775,12043,11046,6969,6693,8557
"Scap_LM7D7_a_00053",1086,1273,869,646,950,753,1162,1728,1096
"Scap_LM7D7_a_00054",510,557,255,243,315,267,468,732,464
"Scap_LM7D7_a_00055",1175,1154,881,623,740,668,869,820,776
"Scap_LM7D7_a_00056",7156,7126,5580,4626,5514,5125,5673,5521,5359
"Scap_LM7D7_a_00057",2981,2343,1583,2219,2762,2545,2230,2237,2071
"Scap_LM7D7_a_00058",9451,10384,7816,12452,16902,15750,11815,9284,10613
"Scap_LM7D7_a_00059",1959,2144,1517,1567,1969,1888,2101,1801,1950
"Scap_LM7D7_a_00060",715,832,466,669,927,877,648,668,732
"Scap_LM7D7_a_00061",1131,1387,877,845,1147,976,1173,1037,1146
"Scap_LM7D7_a_00062",15391,17832,15558,11702,14373,13115,16459,15768,14773
"Scap_LM7D7_a_00063",10049,13193,8687,7746,9129,8538,10789,10491,10133
"Scap_LM7D7_a_00064",48408,57684,54137,36172,44447,38092,52062,54003,49144
"Scap_LM7D7_a_00065",2205,2494,1218,1140,1693,1555,1008,1539,1057
"Scap_LM7D7_a_00066",13931,18694,11382,9678,14615,12732,13709,12554,13845
"Scap_LM7D7_a_00067",10972,15493,9029,6977,10188,8747,9209,9805,9634
"Scap_LM7D7_a_00068",13049,15324,12033,13592,15867,14887,18328,14180,17305
"Scap_LM7D7_a_00069",7613,9548,7174,4363,5011,4419,7176,9305,7026
"Scap_LM7D7_a_00070",4848,6330,5066,3354,4455,3645,5009,5905,4929
"Scap_LM7D7_a_00071",42711,30846,31189,3998,5735,5815,21741,20955,20008
"Scap_LM7D7_a_00072",3138,2310,2325,522,797,706,1361,1889,1327
"Scap_LM7D7_a_00073",2358,2027,1659,689,911,793,1427,1687,1402
"Scap_LM7D7_a_00074",3397,3185,3109,2604,2906,2561,2389,3084,2592
"Scap_LM7D7_a_00075",406,477,414,434,525,500,585,735,588
"Scap_LM7D7_a_00076",18390,18503,12582,458,658,637,256,571,374
"Scap_LM7D7_a_00078",7891,10048,8190,7057,9456,8703,5507,5970,5775
"Scap_LM7D7_a_00079",4740,6121,4842,3677,4656,4120,3408,3688,3686
