#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Staphylococcus haemolyticus","Bacteria;Terrabacteria group;Firmicutes","S167","SAMN04361561","PRJNA306712","GCA_001611955.1","Complete",2.56015,32.7831,"chromosome:NZ_CP013911.1/CP013911.1; plasmid pSH108:NZ_CP013912.1/CP013912.1",,2,2376,"2016-04-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/611/955/GCA_001611955.1_ASM161195v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/611/955/GCF_001611955.1_ASM161195v1"
"Staphylococcus haemolyticus","Bacteria;Terrabacteria group;Firmicutes","ATCC 29970","SAMN10754498","PRJNA515391","GCA_006094395.1","Complete",2.57203,32.8804,"chromosome:NZ_CP035291.1/CP035291.1; plasmid unnamed1:NZ_CP035292.1/CP035292.1; plasmid unnamed2:NZ_CP035293.1/CP035293.1",,3,2353,"2019-06-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/094/395/GCA_006094395.1_ASM609439v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/094/395/GCF_006094395.1_ASM609439v1"
"Staphylococcus haemolyticus","Bacteria;Terrabacteria group;Firmicutes","GDY8P80P","SAMN16539470","PRJNA671646","GCA_015169195.1","Complete",2.77134,33.802,"chromosome:NZ_CP063443.1/CP063443.1; plasmid pY80:NZ_CP063444.1/CP063444.1",,2,2561,"2020-11-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/169/195/GCA_015169195.1_ASM1516919v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/169/195/GCF_015169195.1_ASM1516919v1"
"Staphylococcus haemolyticus","Bacteria;Terrabacteria group;Firmicutes","VB5326","SAMN10031557","PRJNA576986","GCA_009189185.2","Complete",2.69929,32.8,"chromosome:NZ_CP045137.2/CP045137.2",,1,2471,"2019-10-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/189/185/GCA_009189185.2_ASM918918v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/189/185/GCF_009189185.2_ASM918918v2"
"Staphylococcus haemolyticus","Bacteria;Terrabacteria group;Firmicutes","VB19458","SAMN10031556","PRJNA490266","GCA_003596365.3","Complete",2.69921,32.8,"chromosome:NZ_CP045187.2/CP045187.2",,1,2455,"2019-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/596/365/GCA_003596365.3_ASM359636v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/596/365/GCF_003596365.3_ASM359636v3"
"Staphylococcus haemolyticus","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_517","SAMN10163211","PRJNA231221","GCA_003956005.1","Complete",2.6695,32.7648,"chromosome:NZ_CP033814.1/CP033814.1; plasmid unnamed1:NZ_CP033812.1/CP033812.1; plasmid unnamed2:NZ_CP033813.1/CP033813.1",,3,2385,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/956/005/GCA_003956005.1_ASM395600v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/956/005/GCF_003956005.1_ASM395600v1"
"Staphylococcus haemolyticus","Bacteria;Terrabacteria group;Firmicutes","SGAir0252","SAMN08103045","PRJNA388547","GCA_002952715.2","Complete",2.67459,32.7502,"chromosome:NZ_CP025031.1/CP025031.1; plasmid pSGAir0252:NZ_CP025033.1/CP025033.1",,2,2446,"2018-02-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/715/GCA_002952715.2_ASM295271v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/715/GCF_002952715.2_ASM295271v2"
"Staphylococcus haemolyticus","Bacteria;Terrabacteria group;Firmicutes","PK-01","SAMN10838965","PRJNA517594","GCA_005706435.1","Complete",2.61568,32.8,"chromosome:NZ_CP035541.1/CP035541.1",,1,2463,"2019-05-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/706/435/GCA_005706435.1_ASM570643v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/706/435/GCF_005706435.1_ASM570643v1"
"Staphylococcus haemolyticus","Bacteria;Terrabacteria group;Firmicutes","83131A","SAMN08013134","PRJNA417990","GCA_002906595.1","Complete",2.61086,32.7722,"chromosome:NZ_CP024809.1/CP024809.1; plasmid p83131A-A:NZ_CP024810.1/CP024810.1",,2,2380,"2018-01-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/906/595/GCA_002906595.1_ASM290659v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/595/GCF_002906595.1_ASM290659v1"
"Staphylococcus haemolyticus","Bacteria;Terrabacteria group;Firmicutes","83131B","SAMN08161435","PRJNA417990","GCA_002906615.1","Complete",2.61267,32.7706,"chromosome:NZ_CP025396.1/CP025396.1; plasmid p83131A-B:NZ_CP025397.1/CP025397.1; plasmid p83131B:NZ_CP025398.1/CP025398.1",,3,2390,"2018-01-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/906/615/GCA_002906615.1_ASM290661v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/615/GCF_002906615.1_ASM290661v1"
