Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,iT_Sepi_28B01,iT_Shom_28A10,Scap_29E04_ad,Scap_2C01_ad,Scap_2C12_adm,Scap_58D05_ad,Scap_6C02_adm,Scap_6C05_adm,Scap_9C11_adm,Scap_DM01A05_,Scap_DM12A11_,Scap_DM16A07_,Scap_DM18D08_,Scap_DM21F09_,Scap_DM21G11,Scap_DM21G12_,Scap_DM23E01_,Scap_DM23E05_,Scap_DM28A07_,Scap_DM34E02_,Scap_DM3F02_a,Scap_LM7D7_a,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
group_2262,,DoxX family protein,22,22,1,1,3003,NA,NA,NA,249,474,463.77272727272725,iT_Sepi_28B01_01306,iT_Shom_28A10_00633,Scap_29E04_ad_01850,Scap_2C01_ad_01931,Scap_2C12_adm_00168,Scap_58D05_ad_01846,Scap_6C02_adm_01831,Scap_6C05_adm_01734,Scap_9C11_adm_01281,Scap_DM01A05__01748,Scap_DM12A11__00425,Scap_DM16A07__01781,Scap_DM18D08__00634,Scap_DM21F09__01629,Scap_DM21G11_02024,Scap_DM21G12__01680,Scap_DM23E01__01937,Scap_DM23E05__01478,Scap_DM28A07__00999,Scap_DM34E02__00328,Scap_DM3F02_a_01833,Scap_LM7D7_a_02015,435838.HMPREF0786_01986,2.91e-104,301,"2DYWS@1|root,34BGQ@2|Bacteria,1V3ZI@1239|Firmicutes,4HGJV@91061|Bacilli,4GYRG@90964|Staphylococcaceae",91061|Bacilli,S,DoxX,-,-,1.8.5.2,ko:K16937,"ko00920,ko01120,map00920,map01120",-,R07177,-,"ko00000,ko00001,ko01000",3.D.4.9,-,-,DoxX
group_2260,,DM13 domain-containing protein,22,22,1,1,3001,NA,NA,NA,438,438,438,iT_Sepi_28B01_01305,iT_Shom_28A10_00632,Scap_29E04_ad_01851,Scap_2C01_ad_01930,Scap_2C12_adm_00167,Scap_58D05_ad_01845,Scap_6C02_adm_01830,Scap_6C05_adm_01735,Scap_9C11_adm_01280,Scap_DM01A05__01747,Scap_DM12A11__00424,Scap_DM16A07__01782,Scap_DM18D08__00633,Scap_DM21F09__01628,Scap_DM21G11_02023,Scap_DM21G12__01681,Scap_DM23E01__01936,Scap_DM23E05__01477,Scap_DM28A07__00998,Scap_DM34E02__00327,Scap_DM3F02_a_01832,Scap_LM7D7_a_02014,435838.HMPREF0786_01987,1.36e-85,253,"2E8WN@1|root,3336V@2|Bacteria,1VBME@1239|Firmicutes,4HND1@91061|Bacilli,4GZ2K@90964|Staphylococcaceae",91061|Bacilli,S,Electron transfer DM13,-,-,-,-,-,-,-,-,-,-,-,-,DM13
group_2258,,hypothetical protein,22,22,1,1,2999,NA,NA,NA,600,600,600,iT_Sepi_28B01_01304,iT_Shom_28A10_00631,Scap_29E04_ad_01852,Scap_2C01_ad_01929,Scap_2C12_adm_00166,Scap_58D05_ad_01844,Scap_6C02_adm_01829,Scap_6C05_adm_01736,Scap_9C11_adm_01279,Scap_DM01A05__01746,Scap_DM12A11__00423,Scap_DM16A07__01783,Scap_DM18D08__00632,Scap_DM21F09__01627,Scap_DM21G11_02022,Scap_DM21G12__01682,Scap_DM23E01__01935,Scap_DM23E05__01476,Scap_DM28A07__00997,Scap_DM34E02__00326,Scap_DM3F02_a_01831,Scap_LM7D7_a_02013,435838.HMPREF0786_01988,5.21e-123,352,"29I5K@1|root,3052N@2|Bacteria,1TXKN@1239|Firmicutes,4I6K9@91061|Bacilli,4GXF2@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
queE,queE,7-carboxy-7-deazaguanine synthase QueE,22,22,1,1,2997,NA,NA,NA,714,714,714,iT_Sepi_28B01_01303,iT_Shom_28A10_00630,Scap_29E04_ad_01853,Scap_2C01_ad_01928,Scap_2C12_adm_00165,Scap_58D05_ad_01843,Scap_6C02_adm_01828,Scap_6C05_adm_01737,Scap_9C11_adm_01278,Scap_DM01A05__01745,Scap_DM12A11__00422,Scap_DM16A07__01784,Scap_DM18D08__00631,Scap_DM21F09__01626,Scap_DM21G11_02021,Scap_DM21G12__01683,Scap_DM23E01__01934,Scap_DM23E05__01475,Scap_DM28A07__00996,Scap_DM34E02__00325,Scap_DM3F02_a_01830,Scap_LM7D7_a_02012,435838.HMPREF0786_01989,6.16e-177,492,"COG0602@1|root,COG0602@2|Bacteria,1TQ58@1239|Firmicutes,4HAJ3@91061|Bacilli,4GXSS@90964|Staphylococcaceae",91061|Bacilli,H,"Catalyzes the complex heterocyclic radical-mediated conversion of 6-carboxy-5,6,7,8-tetrahydropterin (CPH4) to 7- carboxy-7-deazaguanine (CDG), a step common to the biosynthetic pathways of all 7-deazapurine-containing compounds",queE,"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0006139,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008616,GO:0009058,GO:0009116,GO:0009119,GO:0009163,GO:0009987,GO:0016829,GO:0016840,GO:0018130,GO:0019438,GO:0034404,GO:0034641,GO:0034654,GO:0042455,GO:0042802,GO:0042803,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046116,GO:0046483,GO:0046872,GO:0046983,GO:0048037,GO:0050662,GO:0051536,GO:0051539,GO:0051540,GO:0055086,GO:0071704,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659,GO:1901681,GO:1904047",4.3.99.3,ko:K10026,"ko00790,ko01100,map00790,map01100",-,R10002,RC02989,"ko00000,ko00001,ko01000,ko03016",-,-,-,"Fer4_12,Radical_SAM"
group_2256,,thermonuclease family protein,22,22,1,1,2996,NA,NA,NA,537,537,537,iT_Sepi_28B01_00513,iT_Shom_28A10_00124,Scap_29E04_ad_01130,Scap_2C01_ad_01437,Scap_2C12_adm_00638,Scap_58D05_ad_00941,Scap_6C02_adm_00510,Scap_6C05_adm_01042,Scap_9C11_adm_00276,Scap_DM01A05__00513,Scap_DM12A11__01967,Scap_DM16A07__01087,Scap_DM18D08__00124,Scap_DM21F09__00409,Scap_DM21G11_01512,Scap_DM21G12__01485,Scap_DM23E01__00854,Scap_DM23E05__00285,Scap_DM28A07__00509,Scap_DM34E02__01501,Scap_DM3F02_a_00407,Scap_LM7D7_a_01449,435838.HMPREF0786_00408,8.7e-123,350,"COG1525@1|root,COG1525@2|Bacteria,1VASF@1239|Firmicutes,4HM0N@91061|Bacilli,4GZ2J@90964|Staphylococcaceae",91061|Bacilli,L,thermonuclease,nucI,"GO:0003674,GO:0003676,GO:0003824,GO:0004518,GO:0004519,GO:0005488,GO:0005575,GO:0005576,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:1901360,GO:1901363",3.1.31.1,ko:K01174,-,-,-,-,"ko00000,ko01000",-,-,-,SNase
group_2255,,NERD domain-containing protein,22,22,1,1,2995,NA,NA,NA,858,858,858,iT_Sepi_28B01_00512,iT_Shom_28A10_00123,Scap_29E04_ad_01129,Scap_2C01_ad_01436,Scap_2C12_adm_00637,Scap_58D05_ad_00942,Scap_6C02_adm_00509,Scap_6C05_adm_01041,Scap_9C11_adm_00277,Scap_DM01A05__00512,Scap_DM12A11__01966,Scap_DM16A07__01088,Scap_DM18D08__00123,Scap_DM21F09__00410,Scap_DM21G11_01511,Scap_DM21G12__01484,Scap_DM23E01__00855,Scap_DM23E05__00286,Scap_DM28A07__00508,Scap_DM34E02__01502,Scap_DM3F02_a_00408,Scap_LM7D7_a_01448,435838.HMPREF0786_00409,8.05e-197,546,"29I5J@1|root,3052M@2|Bacteria,1TXKI@1239|Firmicutes,4I6JY@91061|Bacilli,4GXD8@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
queD,queD,6-carboxytetrahydropterin synthase QueD,22,22,1,1,2993,NA,NA,NA,420,420,420,iT_Sepi_28B01_01302,iT_Shom_28A10_00629,Scap_29E04_ad_01854,Scap_2C01_ad_01927,Scap_2C12_adm_00164,Scap_58D05_ad_01842,Scap_6C02_adm_01827,Scap_6C05_adm_01738,Scap_9C11_adm_01277,Scap_DM01A05__01744,Scap_DM12A11__00421,Scap_DM16A07__01785,Scap_DM18D08__00630,Scap_DM21F09__01625,Scap_DM21G11_02020,Scap_DM21G12__01684,Scap_DM23E01__01933,Scap_DM23E05__01474,Scap_DM28A07__00995,Scap_DM34E02__00324,Scap_DM3F02_a_01829,Scap_LM7D7_a_02011,435838.HMPREF0786_01990,6.91e-101,291,"COG0720@1|root,COG0720@2|Bacteria,1V6X6@1239|Firmicutes,4HJ9P@91061|Bacilli,4GZ0V@90964|Staphylococcaceae",91061|Bacilli,H,synthase,queD,"GO:0003674,GO:0003824,GO:0005488,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008616,GO:0009058,GO:0009116,GO:0009119,GO:0009163,GO:0009987,GO:0016829,GO:0018130,GO:0019438,GO:0034404,GO:0034641,GO:0034654,GO:0042455,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046116,GO:0046483,GO:0046872,GO:0055086,GO:0071704,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659","4.1.2.50,4.2.3.12",ko:K01737,"ko00790,ko01100,map00790,map01100","M00842,M00843","R04286,R09959","RC01117,RC02846,RC02847","ko00000,ko00001,ko00002,ko01000,ko03016",-,-,-,PTPS
group_2253,,LapA family protein,22,22,1,1,2992,NA,NA,NA,189,189,189,iT_Sepi_28B01_00514,iT_Shom_28A10_00125,Scap_29E04_ad_01131,Scap_2C01_ad_01438,Scap_2C12_adm_00639,Scap_58D05_ad_00940,Scap_6C02_adm_00511,Scap_6C05_adm_01043,Scap_9C11_adm_00275,Scap_DM01A05__00514,Scap_DM12A11__01968,Scap_DM16A07__01086,Scap_DM18D08__00125,Scap_DM21F09__00408,Scap_DM21G11_01513,Scap_DM21G12__01486,Scap_DM23E01__00853,Scap_DM23E05__00284,Scap_DM28A07__00510,Scap_DM34E02__01500,Scap_DM3F02_a_00406,Scap_LM7D7_a_01450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
group_2252,,hypothetical protein,22,22,1,1,2991,NA,NA,NA,594,594,594,iT_Sepi_28B01_00511,iT_Shom_28A10_00122,Scap_29E04_ad_01128,Scap_2C01_ad_01435,Scap_2C12_adm_00636,Scap_58D05_ad_00943,Scap_6C02_adm_00508,Scap_6C05_adm_01040,Scap_9C11_adm_00278,Scap_DM01A05__00511,Scap_DM12A11__01965,Scap_DM16A07__01089,Scap_DM18D08__00122,Scap_DM21F09__00411,Scap_DM21G11_01510,Scap_DM21G12__01483,Scap_DM23E01__00856,Scap_DM23E05__00287,Scap_DM28A07__00507,Scap_DM34E02__01503,Scap_DM3F02_a_00409,Scap_LM7D7_a_01447,435838.HMPREF0786_00410,5.34e-140,395,"COG0346@1|root,COG0346@2|Bacteria,1V2JX@1239|Firmicutes,4HGKN@91061|Bacilli,4GYXW@90964|Staphylococcaceae",91061|Bacilli,E,lactoylglutathione lyase activity,-,-,-,-,-,-,-,-,-,-,-,-,-
group_2250,,GNAT family N-acetyltransferase,22,22,1,1,2989,NA,NA,NA,561,564,562.3636363636364,iT_Sepi_28B01_01334,iT_Shom_28A10_00661,Scap_29E04_ad_01821,Scap_2C01_ad_01959,Scap_2C12_adm_00197,Scap_58D05_ad_01875,Scap_6C02_adm_01859,Scap_6C05_adm_01706,Scap_9C11_adm_01310,Scap_DM01A05__01776,Scap_DM12A11__00453,Scap_DM16A07__01754,Scap_DM18D08__00662,Scap_DM21F09__01658,Scap_DM21G11_02052,Scap_DM21G12__01652,Scap_DM23E01__01965,Scap_DM23E05__01506,Scap_DM28A07__01027,Scap_DM34E02__00356,Scap_DM3F02_a_01862,Scap_LM7D7_a_02044,435838.HMPREF0786_01957,1.09e-136,386,"COG1670@1|root,COG1670@2|Bacteria,1V6ZA@1239|Firmicutes,4HJSH@91061|Bacilli,4GXVS@90964|Staphylococcaceae",91061|Bacilli,J,(GNAT) family,-,-,-,-,-,-,-,-,-,-,-,-,Acetyltransf_3
queC,queC,7-cyano-7-deazaguanine synthase QueC,22,22,1,1,2988,NA,NA,NA,672,672,672,iT_Sepi_28B01_01301,iT_Shom_28A10_00628,Scap_29E04_ad_01855,Scap_2C01_ad_01926,Scap_2C12_adm_00163,Scap_58D05_ad_01841,Scap_6C02_adm_01826,Scap_6C05_adm_01739,Scap_9C11_adm_01276,Scap_DM01A05__01743,Scap_DM12A11__00420,Scap_DM16A07__01786,Scap_DM18D08__00629,Scap_DM21F09__01624,Scap_DM21G11_02019,Scap_DM21G12__01685,Scap_DM23E01__01932,Scap_DM23E05__01473,Scap_DM28A07__00994,Scap_DM34E02__00323,Scap_DM3F02_a_01828,Scap_LM7D7_a_02010,435838.HMPREF0786_01991,3.44e-167,466,"COG0603@1|root,COG0603@2|Bacteria,1TP4Z@1239|Firmicutes,4HB1Y@91061|Bacilli,4GXAJ@90964|Staphylococcaceae",91061|Bacilli,F,Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0)),queC,"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0006139,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008616,GO:0009058,GO:0009116,GO:0009119,GO:0009163,GO:0009987,GO:0016874,GO:0017076,GO:0018130,GO:0019438,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034404,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0042455,GO:0043167,GO:0043168,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046116,GO:0046483,GO:0046872,GO:0055086,GO:0071704,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659",6.3.4.20,ko:K06920,"ko00790,ko01100,map00790,map01100",-,R09978,RC00959,"ko00000,ko00001,ko01000,ko03016",-,-,-,QueC
group_2249,,hypothetical protein,22,22,1,1,2987,NA,NA,NA,186,186,186,iT_Sepi_28B01_00515,iT_Shom_28A10_00126,Scap_29E04_ad_01132,Scap_2C01_ad_01439,Scap_2C12_adm_00640,Scap_58D05_ad_00939,Scap_6C02_adm_00512,Scap_6C05_adm_01044,Scap_9C11_adm_00274,Scap_DM01A05__00515,Scap_DM12A11__01969,Scap_DM16A07__01085,Scap_DM18D08__00126,Scap_DM21F09__00407,Scap_DM21G11_01514,Scap_DM21G12__01487,Scap_DM23E01__00852,Scap_DM23E05__00283,Scap_DM28A07__00511,Scap_DM34E02__01499,Scap_DM3F02_a_00405,Scap_LM7D7_a_01451,435838.HMPREF0786_00406,1.33e-35,120,"2CD6C@1|root,3045W@2|Bacteria,1TW3H@1239|Firmicutes,4I4TG@91061|Bacilli,4H0A4@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
