Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Scap_DM21B06,Sepi_1A04_aa,Sepi_1C01_aa,Sepi_28C03_a,Sepi_28C09_a,Sepi_29G01_a,Sepi_2A01_aa,Sepi_2C10_ad,Sepi_2D07_ad,Sepi_2d12_aa,Sepi_2E07_ad,Sepi_2g06_aa,Sepi_30A07_a,Sepi_30B01_a,Sepi_3A01_ad,Sepi_3A05_ad,Sepi_3A07_ad,Sepi_3a11_aa,Sepi_3C06_ad,Sepi_3c09_aa,Sepi_3c10_aa,Sepi_3D11_aa,Sepi_58D03_C,Sepi_58D04_C,Sepi_58F01_C,Sepi_5A02_aa,Sepi_5B11_aa,Sepi_5c01_aa,Sepi_5C04_ad,Sepi_61B02_C,Sepi_63G02_C,Sepi_6A01_aa,Sepi_6b04_aa,Sepi_6B08_ad,Sepi_6C06_aa,Sepi_6C08_ad,Sepi_6d05_aa,Sepi_6E08_ad,Sepi_7a07_aa,Sepi_7B05_aa,Sepi_8C10_ad,Sepi_9B05_ad,Sepi_9D01_ad,Sepi_9d05_aa,Sepi_9d06_aa,Sepi_9E06_aa,Sepi_DM12F07,Sepi_DM12G05,Sepi_DM12H06,Sepi_DM1B01_,Sepi_DM21A02,Sepi_DM21B07,Sepi_DM21C07,Sepi_DM21F02,Sepi_DM23A01,Sepi_DM23A02,Sepi_DM23A03,Sepi_DM23C12,Sepi_DM23E02,Sepi_DM23E06,Sepi_DM24B02,Sepi_DM24B03,Sepi_DM24B04,Sepi_DM24G04,Sepi_DM24G05,Sepi_DM2D11_,Sepi_DM2G10_,Sepi_DM2H03_,Sepi_DM39F06,Sepi_DM3A08_,Shom_28C10_a,Shom_6C072_a,Shom_DM12H05
group_2802,,hypothetical protein,73,73,1.0,1,4495,,,,381,381,381.0,Scap_DM21B06_01701,Sepi_1A04_aa_00568,Sepi_1C01_aa_01373,Sepi_28C03_a_00627,Sepi_28C09_a_01441,Sepi_29G01_a_00112,Sepi_2A01_aa_00467,Sepi_2C10_ad_01073,Sepi_2D07_ad_01368,Sepi_2d12_aa_02218,Sepi_2E07_ad_01097,Sepi_2g06_aa_01545,Sepi_30A07_a_01277,Sepi_30B01_a_00358,Sepi_3A01_ad_02198,Sepi_3A05_ad_02195,Sepi_3A07_ad_01451,Sepi_3a11_aa_02298,Sepi_3C06_ad_00206,Sepi_3c09_aa_01185,Sepi_3c10_aa_00435,Sepi_3D11_aa_01190,Sepi_58D03_C_00881,Sepi_58D04_C_02359,Sepi_58F01_C_01479,Sepi_5A02_aa_01309,Sepi_5B11_aa_01352,Sepi_5c01_aa_02411,Sepi_5C04_ad_01950,Sepi_61B02_C_01039,Sepi_63G02_C_01360,Sepi_6A01_aa_01335,Sepi_6b04_aa_01695,Sepi_6B08_ad_01519,Sepi_6C06_aa_01453,Sepi_6C08_ad_00974,Sepi_6d05_aa_02391,Sepi_6E08_ad_00150,Sepi_7a07_aa_01120,Sepi_7B05_aa_01721,Sepi_8C10_ad_00843,Sepi_9B05_ad_01056,Sepi_9D01_ad_01630,Sepi_9d05_aa_02365,Sepi_9d06_aa_00920,Sepi_9E06_aa_02214,Sepi_DM12F07_01843,Sepi_DM12G05_00866,Sepi_DM12H06_01645,Sepi_DM1B01__01602,Sepi_DM21A02_01482,Sepi_DM21B07_01019,Sepi_DM21C07_01024,Sepi_DM21F02_01513,Sepi_DM23A01_01493,Sepi_DM23A02_01403,Sepi_DM23A03_01195,Sepi_DM23C12_01316,58_refound_309,Sepi_DM23E06_01665,Sepi_DM24B02_01367,Sepi_DM24B03_00819,Sepi_DM24B04_00611,Sepi_DM24G04_01492,Sepi_DM24G05_01387,Sepi_DM2D11__01297,Sepi_DM2G10__01437,Sepi_DM2H03__00747,Sepi_DM39F06_00383,Sepi_DM3A08__01780,Shom_28C10_a_01571,Shom_6C072_a_01775,Shom_DM12H05_01188
group_2801,,hypothetical protein,73,73,1.0,1,4494,,,,759,759,759.0,Scap_DM21B06_01915,Sepi_1A04_aa_02031,Sepi_1C01_aa_01918,Sepi_28C03_a_00504,Sepi_28C09_a_02017,Sepi_29G01_a_01147,Sepi_2A01_aa_01340,Sepi_2C10_ad_02153,Sepi_2D07_ad_00815,Sepi_2d12_aa_01834,Sepi_2E07_ad_00830,Sepi_2g06_aa_02214,Sepi_30A07_a_00642,Sepi_30B01_a_02245,Sepi_3A01_ad_00657,Sepi_3A05_ad_02140,Sepi_3A07_ad_00288,Sepi_3a11_aa_02041,Sepi_3C06_ad_01987,Sepi_3c09_aa_02013,Sepi_3c10_aa_01140,Sepi_3D11_aa_00885,Sepi_58D03_C_00471,Sepi_58D04_C_01946,Sepi_58F01_C_01843,Sepi_5A02_aa_01204,Sepi_5B11_aa_01828,Sepi_5c01_aa_02043,Sepi_5C04_ad_00976,Sepi_61B02_C_02188,Sepi_63G02_C_02072,Sepi_6A01_aa_01941,Sepi_6b04_aa_01393,Sepi_6B08_ad_00327,Sepi_6C06_aa_00754,Sepi_6C08_ad_02067,Sepi_6d05_aa_01991,Sepi_6E08_ad_00851,Sepi_7a07_aa_02113,Sepi_7B05_aa_02029,Sepi_8C10_ad_01813,Sepi_9B05_ad_02048,Sepi_9D01_ad_00633,Sepi_9d05_aa_00353,Sepi_9d06_aa_00234,Sepi_9E06_aa_00496,Sepi_DM12F07_00562,Sepi_DM12G05_00337,Sepi_DM12H06_01110,Sepi_DM1B01__01681,Sepi_DM21A02_02143,Sepi_DM21B07_02020,Sepi_DM21C07_01695,Sepi_DM21F02_01464,Sepi_DM23A01_01358,Sepi_DM23A02_02279,Sepi_DM23A03_00894,Sepi_DM23C12_00633,Sepi_DM23E02_00869,Sepi_DM23E06_02263,Sepi_DM24B02_00643,Sepi_DM24B03_01348,Sepi_DM24B04_00770,Sepi_DM24G04_00267,Sepi_DM24G05_00577,Sepi_DM2D11__00328,Sepi_DM2G10__00231,Sepi_DM2H03__00816,Sepi_DM39F06_02145,Sepi_DM3A08__00451,Shom_28C10_a_01876,Shom_6C072_a_00411,Shom_DM12H05_01592
group_2800,,hypothetical protein,73,73,1.0,1,4493,,,,465,465,465.0,Scap_DM21B06_00549,Sepi_1A04_aa_01293,Sepi_1C01_aa_01005,Sepi_28C03_a_01987,Sepi_28C09_a_00612,Sepi_29G01_a_02072,Sepi_2A01_aa_00234,Sepi_2C10_ad_00384,Sepi_2D07_ad_01113,Sepi_2d12_aa_00119,Sepi_2E07_ad_01214,Sepi_2g06_aa_00337,Sepi_30A07_a_00391,Sepi_30B01_a_01817,Sepi_3A01_ad_01929,Sepi_3A05_ad_00874,Sepi_3A07_ad_00622,Sepi_3a11_aa_01844,Sepi_3C06_ad_00413,Sepi_3c09_aa_00249,Sepi_3c10_aa_01938,Sepi_3D11_aa_01901,Sepi_58D03_C_00563,Sepi_58D04_C_00118,Sepi_58F01_C_01210,Sepi_5A02_aa_00119,Sepi_5B11_aa_01305,Sepi_5c01_aa_00331,Sepi_5C04_ad_00756,Sepi_61B02_C_02091,Sepi_63G02_C_00250,Sepi_6A01_aa_00872,Sepi_6b04_aa_02260,Sepi_6B08_ad_00752,Sepi_6C06_aa_01241,Sepi_6C08_ad_00414,Sepi_6d05_aa_01467,Sepi_6E08_ad_01966,Sepi_7a07_aa_00058,Sepi_7B05_aa_00891,Sepi_8C10_ad_00407,Sepi_9B05_ad_00595,Sepi_9D01_ad_00155,Sepi_9d05_aa_02103,Sepi_9d06_aa_00114,Sepi_9E06_aa_00249,Sepi_DM12F07_01951,Sepi_DM12G05_00904,Sepi_DM12H06_00712,Sepi_DM1B01__00817,Sepi_DM21A02_00493,Sepi_DM21B07_00510,Sepi_DM21C07_01862,Sepi_DM21F02_01871,Sepi_DM23A01_00875,Sepi_DM23A02_00318,Sepi_DM23A03_00248,Sepi_DM23C12_00248,Sepi_DM23E02_01171,Sepi_DM23E06_00342,Sepi_DM24B02_01529,Sepi_DM24B03_02218,Sepi_DM24B04_00450,Sepi_DM24G04_01562,Sepi_DM24G05_00924,Sepi_DM2D11__00184,Sepi_DM2G10__01114,Sepi_DM2H03__01264,Sepi_DM39F06_00240,Sepi_DM3A08__00913,Shom_28C10_a_01052,Shom_6C072_a_01829,Shom_DM12H05_02041
group_2799,,putative lipoprotein;hypothetical protein,73,73,1.0,1,4490,,,,648,648,648.0,Scap_DM21B06_00759,Sepi_1A04_aa_01713,Sepi_1C01_aa_00890,Sepi_28C03_a_00362,Sepi_28C09_a_01694,Sepi_29G01_a_00828,Sepi_2A01_aa_00605,Sepi_2C10_ad_00906,Sepi_2D07_ad_00955,Sepi_2d12_aa_01690,Sepi_2E07_ad_00970,Sepi_2g06_aa_00756,Sepi_30A07_a_00496,Sepi_30B01_a_00532,Sepi_3A01_ad_00307,Sepi_3A05_ad_00636,Sepi_3A07_ad_00436,Sepi_3a11_aa_00498,Sepi_3C06_ad_01592,Sepi_3c09_aa_00045,Sepi_3c10_aa_01003,Sepi_3D11_aa_00745,Sepi_58D03_C_01981,Sepi_58D04_C_01804,Sepi_58F01_C_01991,Sepi_5A02_aa_01062,Sepi_5B11_aa_00364,Sepi_5c01_aa_01896,Sepi_5C04_ad_01444,Sepi_61B02_C_00590,Sepi_63G02_C_01021,Sepi_6A01_aa_01538,Sepi_6b04_aa_00209,Sepi_6B08_ad_00400,Sepi_6C06_aa_00614,Sepi_6C08_ad_00844,Sepi_6d05_aa_01850,Sepi_6E08_ad_00993,Sepi_7a07_aa_01337,Sepi_7B05_aa_01126,Sepi_8C10_ad_00977,Sepi_9B05_ad_00723,Sepi_9D01_ad_00775,Sepi_9d05_aa_00497,Sepi_9d06_aa_01072,Sepi_9E06_aa_00352,Sepi_DM12F07_00702,Sepi_DM12G05_01648,Sepi_DM12H06_00970,Sepi_DM1B01__01086,Sepi_DM21A02_01174,Sepi_DM21B07_00758,Sepi_DM21C07_00335,Sepi_DM21F02_02056,Sepi_DM23A01_01626,Sepi_DM23A02_02310,Sepi_DM23A03_00750,Sepi_DM23C12_00777,Sepi_DM23E02_00722,Sepi_DM23E06_01289,Sepi_DM24B02_00504,Sepi_DM24B03_00947,Sepi_DM24B04_01000,Sepi_DM24G04_00406,Sepi_DM24G05_01578,Sepi_DM2D11__00467,Sepi_DM2G10__00672,Sepi_DM2H03__01247,Sepi_DM39F06_00042,Sepi_DM3A08__00590,Shom_28C10_a_01215,Shom_6C072_a_00270,Shom_DM12H05_00767
group_2798,,hypothetical protein,73,73,1.0,1,4489,,,,207,225,207.24657534246575,Scap_DM21B06_01934,Sepi_1A04_aa_02048,Sepi_1C01_aa_01935,Sepi_28C03_a_02445,Sepi_28C09_a_02000,Sepi_29G01_a_02413,Sepi_2A01_aa_01357,Sepi_2C10_ad_02171,Sepi_2D07_ad_00797,Sepi_2d12_aa_01852,Sepi_2E07_ad_00812,Sepi_2g06_aa_02196,Sepi_30A07_a_00660,Sepi_30B01_a_02456,Sepi_3A01_ad_00639,Sepi_3A05_ad_02122,Sepi_3A07_ad_00270,Sepi_3a11_aa_01772,Sepi_3C06_ad_02005,Sepi_3c09_aa_02031,Sepi_3c10_aa_01158,Sepi_3D11_aa_00903,Sepi_58D03_C_00488,Sepi_58D04_C_01964,Sepi_58F01_C_01826,Sepi_5A02_aa_01222,Sepi_5B11_aa_01846,Sepi_5c01_aa_02060,Sepi_5C04_ad_00959,Sepi_61B02_C_02131,Sepi_63G02_C_02090,Sepi_6A01_aa_01923,Sepi_6b04_aa_01412,Sepi_6B08_ad_00345,Sepi_6C06_aa_00773,Sepi_6C08_ad_02049,Sepi_6d05_aa_02009,Sepi_6E08_ad_02465,Sepi_7a07_aa_02131,Sepi_7B05_aa_02012,Sepi_8C10_ad_01831,Sepi_9B05_ad_02030,Sepi_9D01_ad_00615,Sepi_9d05_aa_00336,Sepi_9d06_aa_00216,Sepi_9E06_aa_00513,Sepi_DM12F07_00542,Sepi_DM12G05_00320,Sepi_DM12H06_01130,Sepi_DM1B01__01700,Sepi_DM21A02_02126,Sepi_DM21B07_02001,Sepi_DM21C07_01713,Sepi_DM21F02_01447,Sepi_DM23A01_01341,Sepi_DM23A02_02297,Sepi_DM23A03_00911,Sepi_DM23C12_00616,Sepi_DM23E02_00888,Sepi_DM23E06_02246,Sepi_DM24B02_00661,Sepi_DM24B03_01330,Sepi_DM24B04_00788,Sepi_DM24G04_00249,Sepi_DM24G05_00595,Sepi_DM2D11__00311,Sepi_DM2G10__00248,Sepi_DM2H03__00799,Sepi_DM39F06_02127,Sepi_DM3A08__00434,Shom_28C10_a_01859,Shom_6C072_a_00429,Shom_DM12H05_01572
gppA,gppA,Guanosine-5'-triphosphate3'-diphosphate pyrophosphatase,73,73,1.0,1,4488,,,,1533,1533,1533.0,Scap_DM21B06_00679,Sepi_1A04_aa_00804,Sepi_1C01_aa_02229,Sepi_28C03_a_00441,Sepi_28C09_a_01270,Sepi_29G01_a_01084,Sepi_2A01_aa_01481,Sepi_2C10_ad_00987,Sepi_2D07_ad_00877,Sepi_2d12_aa_01770,Sepi_2E07_ad_00893,Sepi_2g06_aa_00675,Sepi_30A07_a_00577,Sepi_30B01_a_00453,Sepi_3A01_ad_00228,Sepi_3A05_ad_00715,Sepi_3A07_ad_00358,Sepi_3a11_aa_01978,Sepi_3C06_ad_00280,Sepi_3c09_aa_01512,Sepi_3c10_aa_01082,Sepi_3D11_aa_00825,Sepi_58D03_C_00411,Sepi_58D04_C_01885,Sepi_58F01_C_01906,Sepi_5A02_aa_01141,Sepi_5B11_aa_00283,Sepi_5c01_aa_01980,Sepi_5C04_ad_01039,Sepi_61B02_C_00510,Sepi_63G02_C_01102,Sepi_6A01_aa_01617,Sepi_6b04_aa_01331,Sepi_6B08_ad_00479,Sepi_6C06_aa_00692,Sepi_6C08_ad_00766,Sepi_6d05_aa_01929,Sepi_6E08_ad_00914,Sepi_7a07_aa_01259,Sepi_7B05_aa_01045,Sepi_8C10_ad_00898,Sepi_9B05_ad_00801,Sepi_9D01_ad_00694,Sepi_9d05_aa_00415,Sepi_9d06_aa_00994,Sepi_9E06_aa_00434,Sepi_DM12F07_00622,Sepi_DM12G05_00399,Sepi_DM12H06_01050,Sepi_DM1B01__01621,Sepi_DM21A02_01093,Sepi_DM21B07_00678,Sepi_DM21C07_01774,Sepi_DM21F02_00974,Sepi_DM23A01_01421,Sepi_DM23A02_01499,Sepi_DM23A03_00831,Sepi_DM23C12_00696,Sepi_DM23E02_00805,Sepi_DM23E06_01205,Sepi_DM24B02_00581,Sepi_DM24B03_01893,Sepi_DM24B04_00709,Sepi_DM24G04_00329,Sepi_DM24G05_00516,Sepi_DM2D11__00390,Sepi_DM2G10__00169,Sepi_DM2H03__00878,Sepi_DM39F06_00122,Sepi_DM3A08__00513,Shom_28C10_a_02025,Shom_6C072_a_00349,Shom_DM12H05_01652
ylmB,ylmB,N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase,73,73,1.0,1,4487,,,,1245,1245,1245.0,Scap_DM21B06_00677,Sepi_1A04_aa_00806,Sepi_1C01_aa_02231,Sepi_28C03_a_00443,Sepi_28C09_a_01268,Sepi_29G01_a_01086,Sepi_2A01_aa_01483,Sepi_2C10_ad_00989,Sepi_2D07_ad_00875,Sepi_2d12_aa_01772,Sepi_2E07_ad_00891,Sepi_2g06_aa_00673,Sepi_30A07_a_00579,Sepi_30B01_a_00451,Sepi_3A01_ad_00226,Sepi_3A05_ad_00717,Sepi_3A07_ad_00356,Sepi_3a11_aa_01980,Sepi_3C06_ad_00278,Sepi_3c09_aa_01514,Sepi_3c10_aa_01084,Sepi_3D11_aa_00827,Sepi_58D03_C_00413,Sepi_58D04_C_01887,Sepi_58F01_C_01904,Sepi_5A02_aa_01143,Sepi_5B11_aa_00281,Sepi_5c01_aa_01982,Sepi_5C04_ad_01037,Sepi_61B02_C_00508,Sepi_63G02_C_01104,Sepi_6A01_aa_01619,Sepi_6b04_aa_01333,Sepi_6B08_ad_00481,Sepi_6C06_aa_00694,Sepi_6C08_ad_00764,Sepi_6d05_aa_01931,Sepi_6E08_ad_00912,Sepi_7a07_aa_01257,Sepi_7B05_aa_01043,Sepi_8C10_ad_00896,Sepi_9B05_ad_00803,Sepi_9D01_ad_00692,Sepi_9d05_aa_00413,Sepi_9d06_aa_00992,Sepi_9E06_aa_00436,Sepi_DM12F07_00620,Sepi_DM12G05_00397,Sepi_DM12H06_01052,Sepi_DM1B01__01623,Sepi_DM21A02_01091,Sepi_DM21B07_00676,Sepi_DM21C07_01776,Sepi_DM21F02_00972,Sepi_DM23A01_01419,Sepi_DM23A02_01497,Sepi_DM23A03_00833,Sepi_DM23C12_00694,Sepi_DM23E02_00807,Sepi_DM23E06_01203,Sepi_DM24B02_00583,Sepi_DM24B03_01895,Sepi_DM24B04_00711,Sepi_DM24G04_00327,Sepi_DM24G05_00518,Sepi_DM2D11__00388,Sepi_DM2G10__00171,Sepi_DM2H03__00876,Sepi_DM39F06_00124,Sepi_DM3A08__00511,Shom_28C10_a_02023,Shom_6C072_a_00351,Shom_DM12H05_01650
pcrB,pcrB,Heptaprenylglyceryl phosphate synthase,73,73,1.0,1,4485,,,,693,693,693.0,Scap_DM21B06_00983,Sepi_1A04_aa_00694,Sepi_1C01_aa_00751,Sepi_28C03_a_01812,Sepi_28C09_a_00893,Sepi_29G01_a_01202,Sepi_2A01_aa_01017,Sepi_2C10_ad_01350,Sepi_2D07_ad_01712,Sepi_2d12_aa_01299,Sepi_2E07_ad_01526,Sepi_2g06_aa_01395,Sepi_30A07_a_01175,Sepi_30B01_a_01546,Sepi_3A01_ad_01595,Sepi_3A05_ad_01604,Sepi_3A07_ad_01012,Sepi_3a11_aa_02110,Sepi_3C06_ad_01239,Sepi_3c09_aa_01831,Sepi_3c10_aa_01739,Sepi_3D11_aa_01600,Sepi_58D03_C_02464,Sepi_58D04_C_02115,Sepi_58F01_C_00011,Sepi_5A02_aa_01670,Sepi_5B11_aa_00929,Sepi_5c01_aa_01528,Sepi_5C04_ad_01359,Sepi_61B02_C_01244,Sepi_63G02_C_01615,Sepi_6A01_aa_01679,Sepi_6b04_aa_01782,Sepi_6B08_ad_01305,Sepi_6C06_aa_02264,Sepi_6C08_ad_01789,Sepi_6d05_aa_00093,Sepi_6E08_ad_01163,Sepi_7a07_aa_01512,Sepi_7B05_aa_01324,Sepi_8C10_ad_01536,Sepi_9B05_ad_01610,Sepi_9D01_ad_01309,Sepi_9d05_aa_00875,Sepi_9d06_aa_01207,Sepi_9E06_aa_01551,Sepi_DM12F07_01165,Sepi_DM12G05_01405,Sepi_DM12H06_01794,Sepi_DM1B01__01460,Sepi_DM21A02_01878,Sepi_DM21B07_01251,Sepi_DM21C07_01284,Sepi_DM21F02_02075,Sepi_DM23A01_01958,Sepi_DM23A02_01599,Sepi_DM23A03_01324,Sepi_DM23C12_01748,Sepi_DM23E02_01871,Sepi_DM23E06_01965,Sepi_DM24B02_01714,Sepi_DM24B03_01174,Sepi_DM24B04_01603,Sepi_DM24G04_01746,Sepi_DM24G05_01694,Sepi_DM2D11__01798,Sepi_DM2G10__00978,Sepi_DM2H03__01374,Sepi_DM39F06_01605,Sepi_DM3A08__01591,Shom_28C10_a_00728,Shom_6C072_a_01697,Shom_DM12H05_01781
cntE~~~cntE_2~~~cntE_1,cntE;cntE_2;cntE_1,Staphylopine export protein,73,74,1.0136986301369864,1,4484,,,,129,1191,1174.581081081081,Scap_DM21B06_01136,Sepi_1A04_aa_01015;Sepi_1A04_aa_01016,Sepi_1C01_aa_01103,Sepi_28C03_a_00594,Sepi_28C09_a_00967,Sepi_29G01_a_00255,Sepi_2A01_aa_00765,Sepi_2C10_ad_01492,Sepi_2D07_ad_00393,Sepi_2d12_aa_02043,Sepi_2E07_ad_00663,Sepi_2g06_aa_01267,Sepi_30A07_a_00949,Sepi_30B01_a_01010,Sepi_3A01_ad_01161,Sepi_3A05_ad_01122,Sepi_3A07_ad_00856,Sepi_3a11_aa_01402,Sepi_3C06_ad_00065,Sepi_3c09_aa_01325,Sepi_3c10_aa_02144,Sepi_3D11_aa_00633,Sepi_58D03_C_01690,Sepi_58D04_C_02192,Sepi_58F01_C_01623,Sepi_5A02_aa_01803,Sepi_5B11_aa_00484,Sepi_5c01_aa_02266,Sepi_5C04_ad_01632,Sepi_61B02_C_01345,Sepi_63G02_C_00855,Sepi_6A01_aa_00658,Sepi_6b04_aa_00590,Sepi_6B08_ad_01088,Sepi_6C06_aa_00318,Sepi_6C08_ad_01556,Sepi_6d05_aa_02236,Sepi_6E08_ad_00005,Sepi_7a07_aa_00196,Sepi_7B05_aa_01458,Sepi_8C10_ad_00767,Sepi_9B05_ad_00909,Sepi_9D01_ad_01383,Sepi_9d05_aa_00134,Sepi_9d06_aa_00352,Sepi_9E06_aa_01150,Sepi_DM12F07_01048,Sepi_DM12G05_00997,Sepi_DM12H06_00552,Sepi_DM1B01__00901,Sepi_DM21A02_01322,Sepi_DM21B07_01518,Sepi_DM21C07_00708,Sepi_DM21F02_00928,Sepi_DM23A01_00973,Sepi_DM23A02_01114,Sepi_DM23A03_01960,Sepi_DM23C12_01891,Sepi_DM23E02_02083,Sepi_DM23E06_00708,Sepi_DM24B02_01191,Sepi_DM24B03_00301,Sepi_DM24B04_01757,Sepi_DM24G04_01002,Sepi_DM24G05_00818,Sepi_DM2D11__00767,Sepi_DM2G10__00426,Sepi_DM2H03__00541,Sepi_DM39F06_00497,Sepi_DM3A08__01115,Shom_28C10_a_00802,Shom_6C072_a_00707,Shom_DM12H05_00664
polX,polX,DNA polymerase/3'-5' exonuclease PolX,73,73,1.0,1,4481,,,,1710,1710,1710.0,Scap_DM21B06_02012,Sepi_1A04_aa_01803,Sepi_1C01_aa_00234,Sepi_28C03_a_00094,Sepi_28C09_a_00332,Sepi_29G01_a_00538,Sepi_2A01_aa_01641,Sepi_2C10_ad_00139,Sepi_2D07_ad_00239,Sepi_2d12_aa_00570,Sepi_2E07_ad_00355,Sepi_2g06_aa_00992,Sepi_30A07_a_00857,Sepi_30B01_a_00094,Sepi_3A01_ad_00166,Sepi_3A05_ad_00166,Sepi_3A07_ad_01085,Sepi_3a11_aa_00315,Sepi_3C06_ad_00510,Sepi_3c09_aa_02184,Sepi_3c10_aa_00175,Sepi_3D11_aa_01030,Sepi_58D03_C_02175,Sepi_58D04_C_01489,Sepi_58F01_C_00727,Sepi_5A02_aa_00570,Sepi_5B11_aa_00574,Sepi_5c01_aa_00812,Sepi_5C04_ad_00028,Sepi_61B02_C_00028,Sepi_63G02_C_00617,Sepi_6A01_aa_00142,Sepi_6b04_aa_01115,Sepi_6B08_ad_01377,Sepi_6C06_aa_00086,Sepi_6C08_ad_00560,Sepi_6d05_aa_01007,Sepi_6E08_ad_00356,Sepi_7a07_aa_01038,Sepi_7B05_aa_00465,Sepi_8C10_ad_00520,Sepi_9B05_ad_00028,Sepi_9D01_ad_00985,Sepi_9d05_aa_01642,Sepi_9d06_aa_01525,Sepi_9E06_aa_00545,Sepi_DM12F07_00160,Sepi_DM12G05_00007,Sepi_DM12H06_00175,Sepi_DM1B01__00048,Sepi_DM21A02_00151,Sepi_DM21B07_02317,Sepi_DM21C07_00809,Sepi_DM21F02_00581,Sepi_DM23A01_01215,Sepi_DM23A02_00151,Sepi_DM23A03_00509,Sepi_DM23C12_00441,Sepi_DM23E02_00926,Sepi_DM23E06_01023,Sepi_DM24B02_00275,Sepi_DM24B03_00147,Sepi_DM24B04_01093,Sepi_DM24G04_00159,Sepi_DM24G05_00414,Sepi_DM2D11__00587,Sepi_DM2G10__01330,Sepi_DM2H03__01417,Sepi_DM39F06_01189,Sepi_DM3A08__00685,Shom_28C10_a_01643,Shom_6C072_a_00201,Shom_DM12H05_00175
