ID	Graph	subcat	iT_Sepi_28B01	iT_Shom_28A10	Scap_29E04_ad	Scap_2C01_ad	Scap_2C12_adm	Scap_58D05_ad	Scap_6C02_adm	Scap_6C05_adm	Scap_9C11_adm	Scap_DM01A05_	Scap_DM12A11_	Scap_DM16A07_	Scap_DM18D08_	Scap_DM21F09_	Scap_DM21G11	Scap_DM21G12_	Scap_DM23E01_	Scap_DM23E05_	Scap_DM28A07_	Scap_DM34E02_	Scap_DM3F02_a	Scap_LM7D7_a	Sepi_1A04_aaa	Sepi_1C01_aaa	Sepi_28C09_ad	Sepi_2A01_aaa	Sepi_2C10_adq	Sepi_2D07_adq	Sepi_2d12_aaa	Sepi_2E07_adq	Sepi_2g06_aaa	Sepi_30A07_ad	Sepi_3A01_adq	Sepi_3a11_aaa	Sepi_3C06_adq	Sepi_3D11_aaa	Sepi_58D03_CD	Sepi_58D04_CD	Sepi_58F01_CD	Sepi_5A02_aaa	Sepi_5B11_aaa	Sepi_5c01_aaa	Sepi_5C04_adq	Sepi_61B02_CD	Sepi_63G02_CD	Sepi_6A01_aaa	Sepi_6B08_adq	Sepi_6C06_aaa	Sepi_6C08_adq	Sepi_6d05_aaa	Sepi_6E08_adq	Sepi_7a07_aaa	Sepi_7B05_aaa	Sepi_8C10_adq	Sepi_9B05_adq	Sepi_9D01_adq	Sepi_9d05_aa	Sepi_DM12G05_	Sepi_DM12H06_	Sepi_DM1B01_a	Sepi_DM21A02_	Sepi_DM21B07	Sepi_DM21C07_	Sepi_DM23A02_	Sepi_DM23C12_	Sepi_DM23E02_	Sepi_DM23E06_	Sepi_DM24B02_	Sepi_DM24B03	Sepi_DM39F06_	Sepi_DM3A08_a	Shom_1B10_acr	Shom_28B02_ad	Shom_29E11_ac	Shom_2B10_adj	Shom_2B11_adj	Shom_2D11_acr	Shom_2F01_adj	Shom_2F05_acv	Shom_2F07_acv	Shom_2F10_acv	Shom_5A08_acr	Shom_6C071_ad	Shom_8B11_acr	Shom_8D02_acr	Shom_8D04_acr	Shom_8D05_adj	Shom_DM02E06_	Shom_DM02G07_	Shom_DM02G12_	Shom_DM02H05_	Shom_DM03A10_	Shom_DM12A09_	Shom_DM12F06_	Shom_DM12F12_	Shom_DM18D10	Shom_DM18F06_	Shom_DM21B05	Shom_DM21C01_	Shom_DM21C12_	Shom_DM21D06	Shom_DM22B12_	Shom_DM24G02_	Shom_DM24H08_	Shom_DM25G05_	Shom_DM25H12_	Shom_DM27C08_	Shom_DM31A10_	Shom_DM31B10_	Shom_DM31D12_	Shom_DM31G11_	Shom_DM32C02_	Shom_DM32D02_	Shom_DM32D12_	Shom_DM33A05_	Shom_DM33B12_	Shom_DM34G04_	Shom_DM37E12_	Shom_DM40D01_	Shom_DM40D04_	Shom_DM41A09_	Shom_DM41C02_	Shom_DM41C04_	Shom_DM41C05_	Shom_DM41C06_	Shom_DM41C08_	Scap_clust	6	7	8	11	12	13	18	Sepi_clust	6	7	8	11	12	13	18	Shom_clust	6	7	8	11	12	13	18
S0000	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_323	S	Phosphotransferase system, EIIC	-	ko:K07035	-	-	-	group_2402	S	Phosphotransferase system, EIIC	-	ko:K07035	-	-	-	group_974	S	Phosphotransferase system, EIIC	-	ko:K07035	-	-	-	
S0001	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_606	E	ABC transporter, ATP-binding protein	glnQ	ko:K02028	-	M00236	-	glnQ	E	ABC transporter, ATP-binding protein	glnQ	ko:K02028	-	M00236	-	group_3988	E	ABC transporter, ATP-binding protein	glnQ	ko:K02028	-	M00236	-	
S0002	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	queG	C	Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)	queG	ko:K18979	-	-	-	group_1338	C	Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)	queG	ko:K18979	-	-	-	queG	C	Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)	queG	ko:K18979	-	-	-	
S0003	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	trmL	J	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family. TrmL subfamily	cspR	ko:K03216	-	-	-	group_2855	J	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family. TrmL subfamily	cspR	ko:K03216	-	-	-	trmL	J	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family. TrmL subfamily	cspR	ko:K03216	-	-	-	
S0004	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_735	G	Glucosamine-6-phosphate isomerase	-	-	-	-	-	group_3490	G	Glucosamine-6-phosphate isomerase	-	-	-	-	-	group_2183	G	Glucosamine-6-phosphate isomerase	-	-	-	-	-	
S0005	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_951	-	-	-	-	-	-	-	group_3050	-	-	-	-	-	-	-	group_1079	-	-	-	-	-	-	-	
S0006	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	fumC	C	Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate	fumC	ko:K01679	ko00020,ko00620,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko04934,ko05200,ko05211,map00020,map00620,map00720,map01100,map01110,map01120,map01130,map01200,map04934,map05200,map05211	M00009,M00011,M00173,M00376	-	fumC	C	Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate	fumC	ko:K01679	ko00020,ko00620,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko04934,ko05200,ko05211,map00020,map00620,map00720,map01100,map01110,map01120,map01130,map01200,map04934,map05200,map05211	M00009,M00011,M00173,M00376	-	fumC	C	Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate	fumC	ko:K01679	ko00020,ko00620,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko04934,ko05200,ko05211,map00020,map00620,map00720,map01100,map01110,map01120,map01130,map01200,map04934,map05200,map05211	M00009,M00011,M00173,M00376	-	
S0007	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_506	J	Pseudouridine synthase	-	ko:K06180	-	-	-	group_1818	J	Pseudouridine synthase	-	ko:K06180	-	-	-	group_1343	J	Pseudouridine synthase	-	ko:K06180	-	-	-	
S0008	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_870	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	group_2876	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	group_3597	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	
S0009	C	CCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	group_283	S	Belongs to the UPF0754 family	yheB	-	-	-	-	group_3493	S	Belongs to the UPF0754 family	yheB	-	-	-	-	group_2188	S	Belongs to the UPF0754 family	yheB	-	-	-	-	
