#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Staphylococcus warneri","Bacteria;Terrabacteria group;Firmicutes","SNUC 194","SAMN06173206","PRJNA342349","GCA_003042955.1","Contig",2.58796,32.6,,"PZFE01",217,2448,"2018-04-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/042/955/GCA_003042955.1_ASM304295v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/042/955/GCF_003042955.1_ASM304295v1"
"Staphylococcus warneri","Bacteria;Terrabacteria group;Firmicutes","SNUC 3172","SAMN06173216","PRJNA342349","GCA_003578955.1","Contig",2.44408,32.8,,"QXTM01",194,2306,"2018-09-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/578/955/GCA_003578955.1_ASM357895v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/578/955/GCF_003578955.1_ASM357895v1"
"Staphylococcus warneri","Bacteria;Terrabacteria group;Firmicutes","SNUC 4113","SAMN06173219","PRJNA342349","GCA_003578945.1","Contig",2.56298,32.6,,"QXUP01",278,2417,"2018-09-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/578/945/GCA_003578945.1_ASM357894v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/578/945/GCF_003578945.1_ASM357894v1"
"Staphylococcus warneri","Bacteria;Terrabacteria group;Firmicutes","SNUC 640","SAMN06173207","PRJNA342349","GCA_003043255.1","Contig",2.33811,32.7,,"PZFD01",265,2218,"2018-04-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/043/255/GCA_003043255.1_ASM304325v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/043/255/GCF_003043255.1_ASM304325v1"
"Staphylococcus warneri","Bacteria;Terrabacteria group;Firmicutes","SNUC 4527","SAMN06173221","PRJNA342349","GCA_003579205.1","Contig",2.57836,32.7,,"QXUO01",363,2451,"2018-09-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/579/205/GCA_003579205.1_ASM357920v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/579/205/GCF_003579205.1_ASM357920v1"
"Staphylococcus warneri","Bacteria;Terrabacteria group;Firmicutes","SNUC 1312","SAMN06173209","PRJNA342349","GCA_003042755.1","Contig",2.34547,32.9,,"PZFB01",302,2189,"2018-04-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/042/755/GCA_003042755.1_ASM304275v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/042/755/GCF_003042755.1_ASM304275v1"
"Staphylococcus warneri Lyso 2 2011","Bacteria;Terrabacteria group;Firmicutes","Lyso 2 2011","SAMN02666777","PRJNA235868","GCA_000712925.1","Contig",2.50896,32.7,,"JOPV01",49,2345,"2014-06-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/712/925/GCA_000712925.1_psaLyso211","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/712/925/GCF_000712925.1_psaLyso211"
"Staphylococcus warneri Lyso 1 2011","Bacteria;Terrabacteria group;Firmicutes","Lyso 1 2011","SAMN02666775","PRJNA235867","GCA_000712915.1","Contig",2.48959,32.7,,"JOPU01",52,2336,"2014-06-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/712/915/GCA_000712915.1_psalyso111","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/712/915/GCF_000712915.1_psalyso111"
"Staphylococcus warneri SG1","Bacteria;Terrabacteria group;Firmicutes","DE0436","SAMN11792596","PRJNA543692","GCA_007668085.1","Scaffold",2.52153,32.6,,"VDSH01",84,2367,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/668/085/GCA_007668085.1_ASM766808v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/668/085/GCF_007668085.1_ASM766808v1"
"Staphylococcus warneri L37603","Bacteria;Terrabacteria group;Firmicutes","L37603","SAMN00002361","PRJNA34083","GCA_000175175.1","Contig",2.42565,32.8,,"ACPZ01",77,2277,"2009-06-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/175/GCA_000175175.1_ASM17517v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/175/GCF_000175175.1_ASM17517v1"
