reference,querry,ani,alignment_coverage,primary_cluster
Scap_29E04_admrq.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,1.0,0.9974747474747475,0
Scap_2C01_adjxa.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.998085,0.9797979797979798,0
Scap_2C12_admry.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.96494,0.9184177997527813,0
Scap_58D05_admsf.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.9985980000000001,0.9924050632911392,0
Scap_6C02_admrz.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.9981570000000001,0.9886075949367089,0
Scap_6C05_admrp.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.997329,0.9436274509803921,0
Scap_9C11_admsb.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.96545,0.8941034897713598,0
Scap_DM01A05_adqhl.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.964299,0.9063625450180072,0
Scap_DM12A11_adjwy.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.964315,0.9145299145299145,0
Scap_DM16A07_adjwm.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.995659,0.9604938271604938,0
Scap_DM18D08_adqhn.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.964539,0.9174876847290641,0
Scap_DM21F09_adjwi.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.9995310000000001,0.97625,0
Scap_DM21G11_adqhb.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.964422,0.9180929095354523,0
Scap_DM21G12_adqhc.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.9641639999999999,0.9434673366834171,0
Scap_DM23E01_adqhd.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.997122,0.9637046307884856,0
Scap_DM23E05_adjwz.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.9967929999999999,0.9748743718592965,0
Scap_DM28A07_adqhg.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.9646859999999999,0.9473023839397742,0
Scap_DM34E02_adjwg.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.963608,0.9161603888213852,0
Scap_DM3F02_admsi.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.999315,0.9923664122137404,0
Scap_LM7D7_adjwo.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.965438,0.8978365384615384,0
Sepi_1A04_aaacx.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.809066,0.5865384615384616,0
Sepi_1C01_aaadb.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.807968,0.5753920386007237,0
Sepi_28C09_adqbb.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.807474,0.610062893081761,0
Sepi_2A01_aaada.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.809712,0.5883100381194409,0
Sepi_2C10_adqax.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.8100010000000001,0.5902864259028643,0
Sepi_2D07_adqav.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.805956,0.6030534351145038,0
Sepi_2E07_adqca.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.8088970000000001,0.5899014778325123,0
Sepi_2d12_aaacm.newbler.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.807766,0.5864661654135338,0
Sepi_2g06_aaadj.newbler.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.805933,0.606516290726817,0
Sepi_30A07_adqaz.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.8068559999999999,0.5869017632241813,0
Sepi_3A01_adqba.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.807355,0.5910224438902744,0
Sepi_3C06_adqau.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.8081579999999999,0.6150895140664961,0
Sepi_3D11_aaadi.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.8050400000000001,0.5866666666666667,0
Sepi_3a11_aaacy.newbler.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.806281,0.5736906211936662,0
Sepi_58D03_CD110_abkva.masurca.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.807141,0.5542590431738623,0
Sepi_58D04_CD111_abkvb.masurca.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.806984,0.6118665018541409,0
Sepi_58F01_CD113_abkvc.PB_DATA.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.8088160000000001,0.6,0
Sepi_5A02_aaacn.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.806413,0.5656441717791411,0
Sepi_5B11_aaacu.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.807898,0.6106304079110012,0
Sepi_5C04_adqcd.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.80696,0.5872020075282308,0
Sepi_5c01_aaadf.PB_DATA.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.809345,0.5786384976525821,0
Sepi_61B02_CD145_abkvk.spades.pilon.fasta,Scap_29E04_admrq.spades.pilon.fasta,0.8082670000000001,0.6027397260273972,0
