## Fri Jan 13 16:40:48 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_1jkldzay --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_1jkldzay --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_1jkldzay/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence all --pfam_realign denovo --num_servers 2 --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
group_1223	176279.SERP0929	1.05e-273	751.0	COG0628@1|root,COG0628@2|Bacteria,1TQ84@1239|Firmicutes,4H9SR@91061|Bacilli,4GX29@90964|Staphylococcaceae	91061|Bacilli	S	AI-2E family transporter	yubA	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008150,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944	-	-	-	-	-	-	-	-	-	-	AI-2E_transport
group_1515	176279.SERP0932	1.18e-227	628.0	COG1316@1|root,COG1316@2|Bacteria,1TSWQ@1239|Firmicutes,4HE66@91061|Bacilli,4GXDZ@90964|Staphylococcaceae	91061|Bacilli	K	Peptide methionine sulfoxide reductase regulator MsrR	msrR	GO:0005575,GO:0005623,GO:0005886,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016020,GO:0016021,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031224,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044425,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576,GO:1903506,GO:2000112,GO:2001141	-	-	-	-	-	-	-	-	-	-	LytR_cpsA_psr
group_1173	176279.SERP0935	6.02e-308	838.0	COG0389@1|root,COG0389@2|Bacteria,1TP42@1239|Firmicutes,4HA1P@91061|Bacilli,4GXB0@90964|Staphylococcaceae	91061|Bacilli	L	Belongs to the DNA polymerase type-Y family	polYB	GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003824,GO:0003887,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006260,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0033554,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0046872,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0090304,GO:0097159,GO:0140097,GO:1901360,GO:1901362,GO:1901363,GO:1901576	2.7.7.7	ko:K02346,ko:K03502	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	IMS,IMS_C,IMS_HHH
group_2172	176280.SE_1055	9.72e-157	439.0	COG0693@1|root,COG0693@2|Bacteria,1UG8E@1239|Firmicutes,4HCBM@91061|Bacilli,4GY0Q@90964|Staphylococcaceae	91061|Bacilli	S	DJ-1/PfpI family	-	-	-	-	-	-	-	-	-	-	-	-	DJ-1_PfpI
group_1181	176279.SERP0947	2.23e-297	811.0	COG2348@1|root,COG2348@2|Bacteria,1TQEN@1239|Firmicutes,4HCQ9@91061|Bacilli,4GY1T@90964|Staphylococcaceae	91061|Bacilli	V	Methicillin resistance	femB	GO:0000270,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0008150,GO:0008152,GO:0008360,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016043,GO:0016740,GO:0016746,GO:0016755,GO:0022603,GO:0022604,GO:0030203,GO:0034645,GO:0042221,GO:0042546,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0045229,GO:0046677,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051128,GO:0065007,GO:0065008,GO:0070589,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0140096,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576	2.3.2.18	ko:K11695,ko:K12554	ko00550,ko01100,map00550,map01100	-	R08778,R08780	RC00055,RC00064,RC00096	ko00000,ko00001,ko01000,ko01011	-	-	-	FemAB
group_198	176279.SERP0954	4.25e-71	214.0	COG3523@1|root,COG3523@2|Bacteria,1VJKJ@1239|Firmicutes,4HP86@91061|Bacilli,4GZDW@90964|Staphylococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_2201	176280.SE_1066	2.14e-148	418.0	COG0704@1|root,COG0704@2|Bacteria,1URN3@1239|Firmicutes,4HEU9@91061|Bacilli,4GY1H@90964|Staphylococcaceae	91061|Bacilli	P	Plays a role in the regulation of phosphate uptake	phoU	-	-	ko:K02039	-	-	-	-	ko00000	-	-	-	PhoU
pstB	176280.SE_1067	1.16e-208	577.0	COG1117@1|root,COG1117@2|Bacteria,1TP1M@1239|Firmicutes,4HAB1@91061|Bacilli,4GXHJ@90964|Staphylococcaceae	91061|Bacilli	P	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system	pstB	GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005315,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006817,GO:0006820,GO:0008144,GO:0008150,GO:0008509,GO:0015075,GO:0015103,GO:0015114,GO:0015291,GO:0015318,GO:0015399,GO:0015405,GO:0015415,GO:0015698,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022804,GO:0022857,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034220,GO:0035435,GO:0035639,GO:0036094,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043225,GO:0043492,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0097159,GO:0097367,GO:0098656,GO:0098660,GO:0098661,GO:0099133,GO:1901265,GO:1901363	3.6.3.27	ko:K02036	ko02010,map02010	M00222	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.7	-	iSB619.SA_RS06920	ABC_tran
pstC	176279.SERP0959	5.78e-197	548.0	COG0573@1|root,COG0573@2|Bacteria,1TSPP@1239|Firmicutes,4HC9H@91061|Bacilli,4GWXK@90964|Staphylococcaceae	91061|Bacilli	P	probably responsible for the translocation of the substrate across the membrane	pstC	-	-	ko:K02037	ko02010,map02010	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	BPD_transp_1
group_1540	176280.SE_1070	5.84e-226	623.0	COG0226@1|root,COG0226@2|Bacteria,1TQ5X@1239|Firmicutes,4HBEB@91061|Bacilli,4GXQZ@90964|Staphylococcaceae	91061|Bacilli	P	Part of the ABC transporter complex PstSACB involved in phosphate import	pstS	GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006817,GO:0006820,GO:0008150,GO:0015698,GO:0016020,GO:0042301,GO:0043167,GO:0043168,GO:0044464,GO:0051179,GO:0051234,GO:0071944	-	ko:K02040	ko02010,ko02020,ko05152,map02010,map02020,map05152	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	PBP_like_2
group_703	176280.SE_1072	0.0	1051.0	COG0488@1|root,COG0488@2|Bacteria,1TPW0@1239|Firmicutes,4HATH@91061|Bacilli,4GX5W@90964|Staphylococcaceae	91061|Bacilli	S	ABC transporter, ATP-binding protein	ykpA	-	-	-	-	-	-	-	-	-	-	-	ABC_tran,ABC_tran_Xtn
group_2016	176279.SERP0967	1.77e-118	344.0	COG2171@1|root,COG2171@2|Bacteria,1TQUJ@1239|Firmicutes,4H9KY@91061|Bacilli,4GYGJ@90964|Staphylococcaceae	91061|Bacilli	E	Catalyzes the transfer of an acetyl group from acetyl- CoA to tetrahydrodipicolinate	dapH	GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006553,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009085,GO:0009089,GO:0009987,GO:0016053,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0019877,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046451,GO:0047200,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.3.1.117,2.3.1.89	ko:K00674,ko:K05822	ko00300,ko01100,ko01110,ko01120,ko01230,map00300,map01100,map01110,map01120,map01230	M00016,M00525	R04364,R04365	RC00004,RC01136	ko00000,ko00001,ko00002,ko01000	-	-	iYO844.BSU14180	DapH_N,Hexapep
group_1301	176280.SE_1078	2.83e-285	778.0	COG1473@1|root,COG1473@2|Bacteria,1TPD7@1239|Firmicutes,4HC0I@91061|Bacilli,4GXJY@90964|Staphylococcaceae	91061|Bacilli	E	hydrolase activity	hipO	GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006553,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009085,GO:0009089,GO:0009987,GO:0016053,GO:0016787,GO:0016810,GO:0016811,GO:0019213,GO:0019752,GO:0019877,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046451,GO:0050118,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	3.5.1.47	ko:K05823	ko00300,ko01100,ko01110,ko01230,map00300,map01100,map01110,map01230	M00525	R02733	RC00064,RC00300	ko00000,ko00001,ko00002,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20
group_1415	176280.SE_1079	6.69e-264	722.0	COG0787@1|root,COG0787@2|Bacteria,1UCXI@1239|Firmicutes,4HEGM@91061|Bacilli,4GX0A@90964|Staphylococcaceae	91061|Bacilli	E	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids	alr2	GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006522,GO:0006523,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008784,GO:0009058,GO:0009078,GO:0009079,GO:0009987,GO:0016053,GO:0016853,GO:0016854,GO:0016855,GO:0019752,GO:0030632,GO:0036361,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046144,GO:0046145,GO:0046394,GO:0046416,GO:0046436,GO:0046437,GO:0047661,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	5.1.1.1	ko:K01775	ko00473,ko01100,ko01502,map00473,map01100,map01502	-	R00401	RC00285	ko00000,ko00001,ko01000,ko01011	-	-	-	Ala_racemase_C,Ala_racemase_N
cspA	1220551.SCHR_03890	2.09e-41	135.0	COG1278@1|root,COG1278@2|Bacteria,1VEE0@1239|Firmicutes,4HNJC@91061|Bacilli,4GZPY@90964|Staphylococcaceae	91061|Bacilli	K	Cold shock protein CspA	cspA	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:1901363,GO:1903506,GO:2000112,GO:2001141	-	ko:K03704	-	-	-	-	ko00000,ko03000	-	-	-	CSD
group_907	176279.SERP0974	5e-57	177.0	COG1254@1|root,COG1254@2|Bacteria,1VEM9@1239|Firmicutes,4HNN7@91061|Bacilli,4GZNP@90964|Staphylococcaceae	91061|Bacilli	C	Belongs to the acylphosphatase family	acyP	GO:0003674,GO:0003824,GO:0003998,GO:0016787,GO:0016817,GO:0016818	3.6.1.7	ko:K01512	ko00620,ko00627,ko01120,map00620,map00627,map01120	-	R00317,R01421,R01515	RC00043	ko00000,ko00001,ko01000	-	-	iSB619.SA_RS07020	Acylphosphatase
group_1089	176279.SERP0977	1.94e-304	832.0	COG1114@1|root,COG1114@2|Bacteria,1TQIS@1239|Firmicutes,4HAKA@91061|Bacilli,4GY0Y@90964|Staphylococcaceae	91061|Bacilli	E	Component of the transport system for branched-chain amino acids	brnQ	GO:0003333,GO:0003674,GO:0005215,GO:0005304,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006855,GO:0006865,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015175,GO:0015179,GO:0015188,GO:0015190,GO:0015238,GO:0015318,GO:0015658,GO:0015711,GO:0015803,GO:0015804,GO:0015807,GO:0015818,GO:0015820,GO:0015829,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0034220,GO:0042221,GO:0042493,GO:0044425,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0098655,GO:0098656,GO:1902475,GO:1903785,GO:1903825,GO:1905039	-	ko:K03311	-	-	-	-	ko00000	2.A.26	-	-	Branch_AA_trans
group_464	176280.SE_1091	0.0	1238.0	COG4547@1|root,COG4547@2|Bacteria,1UHPC@1239|Firmicutes,4IS58@91061|Bacilli,4GWW5@90964|Staphylococcaceae	91061|Bacilli	H	Nitric oxide reductase activation protein	-	-	-	-	-	-	-	-	-	-	-	-	VWA
group_1857	176280.SE_1092	5.43e-184	512.0	COG0714@1|root,COG0714@2|Bacteria,1TQJA@1239|Firmicutes,4HBG4@91061|Bacilli,4GXI0@90964|Staphylococcaceae	91061|Bacilli	S	ATPase activity	yojN	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0008144,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363	-	ko:K04748	-	-	R00294	RC02794	ko00000	3.D.4.10	-	-	AAA_5,CbbQ_C
group_1335	176279.SERP0980	6.67e-43	139.0	2E3WX@1|root,32YU3@2|Bacteria,1VFHJ@1239|Firmicutes,4HPQ5@91061|Bacilli,4GZK3@90964|Staphylococcaceae	91061|Bacilli	-	-	yozC	-	-	-	-	-	-	-	-	-	-	-	-
