#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","13T0028","SAMN09259155","PRJNA473062","GCA_004291115.2","Complete",2.35257,32.1577,"chromosome:NZ_CP068029.1/CP068029.1; plasmid p13T0028:NZ_CP068030.1/CP068030.1",,2,1848,"2021-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/291/115/GCA_004291115.2_ASM429111v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/291/115/GCF_004291115.2_ASM429111v2"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_1074","SAMN16357243","PRJNA231221","GCA_016127715.1","Complete",2.34652,32.2,"chromosome:NZ_CP066042.1/CP066042.1",,1,1857,"2020-12-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/127/715/GCA_016127715.1_ASM1612771v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/715/GCF_016127715.1_ASM1612771v1"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","DVP5-16-4677","SAMN09259159","PRJNA473062","GCA_004291175.2","Complete",2.39679,32.0802,"chromosome:NZ_CP068031.1/CP068031.1; plasmid pDVP5-16-4677:NZ_CP068032.1/CP068032.1",,2,1825,"2021-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/291/175/GCA_004291175.2_ASM429117v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/291/175/GCF_004291175.2_ASM429117v2"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","NCTC11807","SAMEA44527168","PRJEB6403","GCA_900458815.1","Contig",2.36644,32.2,,"UHDZ01",2,1773,"2018-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/458/815/GCA_900458815.1_49699_H02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/458/815/GCF_900458815.1_49699_H02"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","NCTC 11807","SAMN05977977","PRJNA339206","GCA_003968885.1","Scaffold",2.35007,32,,"RXXC01",93,1768,"2018-12-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/968/885/GCA_003968885.1_ASM396888v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/968/885/GCF_003968885.1_ASM396888v1"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","IIF6SC-B4A","SAMN18623014","PRJNA719862","GCA_019049405.1","Scaffold",2.47075,31.4,,"JAGMTQ01",9,2335,"2021-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/049/405/GCA_019049405.1_ASM1904940v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/049/405/GCF_019049405.1_ASM1904940v1"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","IIF7SG_B1","SAMN18623015","PRJNA719862","GCA_019049355.1","Scaffold",2.47074,31.4,,"JAGMTP01",9,2332,"2021-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/049/355/GCA_019049355.1_ASM1904935v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/049/355/GCF_019049355.1_ASM1904935v1"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","13T098","SAMN17199939","PRJNA689124","GCA_016791525.1","Contig",2.32137,32.1,,"JAENGW01",10,1715,"2021-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/791/525/GCA_016791525.1_ASM1679152v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/791/525/GCF_016791525.1_ASM1679152v1"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","DVP1-17-2344","SAMN17199937","PRJNA689124","GCA_016791585.1","Contig",2.32128,32.1,,"JAENGU01",10,1731,"2021-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/791/585/GCA_016791585.1_ASM1679158v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/791/585/GCF_016791585.1_ASM1679158v1"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","DVP4-17-2404","SAMN09259158","PRJNA473062","GCA_004291095.1","Contig",2.37362,32,,"QHKC01",11,1826,"2019-02-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/291/095/GCA_004291095.1_ASM429109v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/291/095/GCF_004291095.1_ASM429109v1"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","DVP2-17-2406","SAMN09259157","PRJNA473062","GCA_004291105.1","Contig",2.37362,32,,"QHKD01",11,1829,"2019-02-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/291/105/GCA_004291105.1_ASM429110v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/291/105/GCF_004291105.1_ASM429110v1"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","PJFA-562","SAMN16480608","PRJNA669471","GCA_022214695.1","Scaffold",2.52259,31.5,,"JADDRG01",13,0,"2022-02-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/214/695/GCA_022214695.1_ASM2221469v1",
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","151250007-1-258-46","SAMN18623016","PRJNA719862","GCA_019049365.1","Scaffold",2.57289,31.4,,"JAGMTO01",23,2434,"2021-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/049/365/GCA_019049365.1_ASM1904936v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/049/365/GCF_019049365.1_ASM1904936v1"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","05B0362","SAMN09259153","PRJNA473062","GCA_004291125.1","Contig",2.34935,32,,"QHKH01",10,1871,"2019-02-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/291/125/GCA_004291125.1_ASM429112v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/291/125/GCF_004291125.1_ASM429112v1"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","DVP3-16-6167","SAMN09259156","PRJNA473062","GCA_004291215.1","Contig",2.35028,32,,"QHKE01",13,1875,"2019-02-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/291/215/GCA_004291215.1_ASM429121v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/291/215/GCF_004291215.1_ASM429121v1"
"Staphylococcus saccharolyticus","Bacteria;Terrabacteria group;Firmicutes","DVP1-17-1678","SAMN17199938","PRJNA689124","GCA_016791565.1","Contig",2.3489,32,,"JAENGV01",10,1808,"2021-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/791/565/GCA_016791565.1_ASM1679156v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/791/565/GCF_016791565.1_ASM1679156v1"
