#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","HD66","SAMN11953769","PRJNA546129","GCA_006337185.1"," Chromosome",2.52171,32.0984,"chromosome:NZ_CP040868.1/CP040868.1; plasmid pHD66_1:NZ_CP040869.1/CP040869.1; plasmid pHD66_2:NZ_CP040870.1/CP040870.1",,3,2280,"2019-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/185/GCA_006337185.1_ASM633718v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/185/GCF_006337185.1_ASM633718v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","NCTC11047","SAMEA3233545","PRJEB6403","GCA_900458605.1","Contig",2.53801,32.2,,"UHDF01",5,2179,"2018-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/458/605/GCA_900458605.1_35910_G02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/458/605/GCF_900458605.1_35910_G02"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","ATCC 14990","SAMN06624123","PRJNA379934","GCA_002087975.1","Scaffold",2.45752,32.0967,"plasmid pATCC14990-2:NZ_CM007846.1/CM007846.1","NARC01",37,2214,"2017-04-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/087/975/GCA_002087975.1_ASM208797v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/087/975/GCF_002087975.1_ASM208797v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","NCTC 11047","SAMN05978027","PRJNA339206","GCA_002901875.1","Scaffold",2.44238,32,,"PPQG01",62,2184,"2018-01-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/901/875/GCA_002901875.1_ASM290187v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/901/875/GCF_002901875.1_ASM290187v1"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_157","SAMN03996302","PRJNA231221","GCA_001473265.2","Contig",2.5977,32.2,,"LORL02",3,2323,"2015-12-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/473/265/GCA_001473265.2_ASM147326v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/473/265/GCF_001473265.2_ASM147326v2"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_83","SAMN02934537","PRJNA231221","GCA_000783535.2","Contig",2.5797,32.1,,"JTAY02",3,2344,"2014-11-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/783/535/GCA_000783535.2_ASM78353v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/535/GCF_000783535.2_ASM78353v2"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","NCTC13360","SAMEA3233552","PRJEB6403","GCA_900458515.1","Contig",2.63503,32.1,,"UHDJ01",8,2321,"2018-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/458/515/GCA_900458515.1_35910_H01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/458/515/GCF_900458515.1_35910_H01"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","NCTC12100","SAMEA3614275","PRJEB6403","GCA_900458645.1","Contig",2.60665,32.1,,"UHDH01",5,2312,"2018-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/458/645/GCA_900458645.1_42197_C02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/458/645/GCF_900458645.1_42197_C02"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","NCTC10519","SAMEA3871774","PRJEB6403","GCA_900458575.1","Contig",2.60967,32.1,,"UHDC01",4,2364,"2018-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/458/575/GCA_900458575.1_44451_A01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/458/575/GCF_900458575.1_44451_A01"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","NCTC6513","SAMEA3512674","PRJEB6403","GCA_900458585.1","Contig",2.58627,32,,"UHDD01",3,2257,"2018-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/458/585/GCA_900458585.1_41236_F01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/458/585/GCF_900458585.1_41236_F01"
"Staphylococcus epidermidis","Bacteria;Terrabacteria group;Firmicutes","NCTC7474","SAMEA3505361","PRJEB6403","GCA_900458655.1","Contig",2.50867,32.2,,"UHDE01",3,2248,"2018-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/458/655/GCA_900458655.1_40295_C02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/458/655/GCF_900458655.1_40295_C02"
