## Fri Jan 13 16:09:18 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_cn1ljiia --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_cn1ljiia --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_cn1ljiia/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence all --pfam_realign denovo --num_servers 2 --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
group_323	435838.HMPREF0786_00933	1.61e-232	642.0	COG3641@1|root,COG3641@2|Bacteria,1TS5F@1239|Firmicutes,4HAK5@91061|Bacilli,4GX0Z@90964|Staphylococcaceae	91061|Bacilli	S	Phosphotransferase system, EIIC	-	-	-	ko:K07035	-	-	-	-	ko00000	-	-	-	PTS_EIIC_2
group_606	435838.HMPREF0786_00931	3.39e-167	468.0	COG1126@1|root,COG1126@2|Bacteria,1TNYD@1239|Firmicutes,4H9WY@91061|Bacilli,4GY6W@90964|Staphylococcaceae	91061|Bacilli	E	ABC transporter, ATP-binding protein	glnQ	-	3.6.3.21	ko:K02028	-	M00236	-	-	ko00000,ko00002,ko01000,ko02000	3.A.1.3	-	-	ABC_tran
queG	435838.HMPREF0786_00930	1.01e-274	751.0	COG1600@1|root,COG1600@2|Bacteria,1TP6Q@1239|Firmicutes,4HAEW@91061|Bacilli,4GWWP@90964|Staphylococcaceae	91061|Bacilli	C	Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)	queG	GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008616,GO:0009058,GO:0009116,GO:0009119,GO:0009163,GO:0009987,GO:0010467,GO:0016070,GO:0016491,GO:0018130,GO:0019438,GO:0034404,GO:0034470,GO:0034641,GO:0034654,GO:0034660,GO:0042455,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046116,GO:0046483,GO:0046872,GO:0048037,GO:0051536,GO:0051539,GO:0051540,GO:0052693,GO:0055086,GO:0055114,GO:0071704,GO:0090304,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659	1.17.99.6	ko:K18979	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	DUF1730,Fer4_16,HEAT_2
trmL	435838.HMPREF0786_00929	1.83e-111	320.0	COG0219@1|root,COG0219@2|Bacteria,1V3GW@1239|Firmicutes,4HFNY@91061|Bacilli,4GXPC@90964|Staphylococcaceae	91061|Bacilli	J	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family. TrmL subfamily	cspR	GO:0001510,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016741,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:1901360,GO:1901363	2.1.1.207	ko:K03216	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	SpoU_methylase
group_735	435838.HMPREF0786_00928	5.97e-138	390.0	COG0363@1|root,COG0363@2|Bacteria,1VCS5@1239|Firmicutes,4HMJA@91061|Bacilli,4GY89@90964|Staphylococcaceae	91061|Bacilli	G	Glucosamine-6-phosphate isomerase	-	-	-	-	-	-	-	-	-	-	-	-	-
group_951	435838.HMPREF0786_00926	1.04e-76	230.0	29IAD@1|root,3057G@2|Bacteria,1TXUI@1239|Firmicutes,4I6WV@91061|Bacilli,4GZAS@90964|Staphylococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
fumC	435838.HMPREF0786_00925	0.0	914.0	COG0114@1|root,COG0114@2|Bacteria,1UHPH@1239|Firmicutes,4HA6P@91061|Bacilli,4GXC4@90964|Staphylococcaceae	91061|Bacilli	C	Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate	fumC	GO:0003674,GO:0003824,GO:0004333,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006106,GO:0006108,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016829,GO:0016835,GO:0016836,GO:0016999,GO:0017144,GO:0019752,GO:0032991,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0045239,GO:0045333,GO:0055114,GO:0071704,GO:0072350	4.2.1.2	ko:K01679	ko00020,ko00620,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko04934,ko05200,ko05211,map00020,map00620,map00720,map01100,map01110,map01120,map01130,map01200,map04934,map05200,map05211	M00009,M00011,M00173,M00376	R01082	RC00443	ko00000,ko00001,ko00002,ko01000	-	-	iSB619.SA_RS09430	FumaraseC_C,Lyase_1
group_506	435838.HMPREF0786_00924	4.01e-197	546.0	COG0564@1|root,COG0564@2|Bacteria,1V1HD@1239|Firmicutes,4HGR5@91061|Bacilli,4GXAQ@90964|Staphylococcaceae	91061|Bacilli	J	Pseudouridine synthase	-	-	5.4.99.23	ko:K06180	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	PseudoU_synth_2
group_870	435838.HMPREF0786_00921	1.51e-109	315.0	COG1476@1|root,COG1476@2|Bacteria,1V8FS@1239|Firmicutes,4HICR@91061|Bacilli,4GXBG@90964|Staphylococcaceae	91061|Bacilli	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
group_283	435838.HMPREF0786_00920	5.23e-257	706.0	COG4399@1|root,COG4399@2|Bacteria,1TQDH@1239|Firmicutes,4HA30@91061|Bacilli,4GXTT@90964|Staphylococcaceae	91061|Bacilli	S	Belongs to the UPF0754 family	yheB	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016021,GO:0031224,GO:0044425,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	DUF445
