#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Staphylococcus hominis","Bacteria;Terrabacteria group;Firmicutes","acrln","SAMN11962491","PRJNA546603","GCA_022689645.1","Contig",2.27724,31.3,,"JALCWY01",34,2185,"2022-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/689/645/GCA_022689645.1_ASM2268964v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/689/645/GCF_022689645.1_ASM2268964v1"
"Staphylococcus hominis","Bacteria;Terrabacteria group;Firmicutes","DE0153","SAMN11792313","PRJNA543692","GCA_007681865.1","Contig",2.2071,31.4,,"VELT01",43,2105,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/681/865/GCA_007681865.1_ASM768186v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/681/865/GCF_007681865.1_ASM768186v1"
"Staphylococcus hominis","Bacteria;Terrabacteria group;Firmicutes","IIF7SC-B2","SAMN15815278","PRJNA657113","GCA_014266385.1","Contig",2.11351,31.5,,"JACMVT01",29,1941,"2020-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/266/385/GCA_014266385.1_ASM1426638v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/266/385/GCF_014266385.1_ASM1426638v1"
"Staphylococcus hominis","Bacteria;Terrabacteria group;Firmicutes","acrli","SAMN11962486","PRJNA546603","GCA_022689965.1","Contig",2.20258,31.3,,"JALCWH01",41,2119,"2022-03-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/689/965/GCA_022689965.1_ASM2268996v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/689/965/GCF_022689965.1_ASM2268996v1"
"Staphylococcus hominis","Bacteria;Terrabacteria group;Firmicutes","793_SHAE","SAMN03198006","PRJNA267549","GCA_001077055.1","Scaffold",2.18734,31.4,,"JUSR01",54,2089,"2015-07-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/055/GCA_001077055.1_ASM107705v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/055/GCF_001077055.1_ASM107705v1"
"Staphylococcus hominis","Bacteria;Terrabacteria group;Firmicutes","DE0368","SAMN11792528","PRJNA543692","GCA_007676535.1","Scaffold",2.23834,31.4,,"VEJZ01",111,2132,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/676/535/GCA_007676535.1_ASM767653v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/676/535/GCF_007676535.1_ASM767653v1"
"Staphylococcus hominis","Bacteria;Terrabacteria group;Firmicutes","I4","SAMEA3515760","PRJEB10524","GCA_900006945.1","Scaffold",2.25,31.3,,"FBVL01",83,2137,"2017-02-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/006/945/GCA_900006945.1_S.hominis_I4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/006/945/GCF_900006945.1_S.hominis_I4"
"Staphylococcus hominis","Bacteria;Terrabacteria group;Firmicutes","ShoR14","SAMN18523078","PRJNA717998","GCA_017742685.1","Scaffold",2.49921,31.2944,"plasmid pShoR14-2:NZ_JAGHKT010000048.1/; plasmid pShoR14-3:NZ_JAGHKT010000051.1/; plasmid pShoR14-5:NZ_JAGHKT010000062.1/","JAGHKT01",126,2494,"2021-04-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/742/685/GCA_017742685.1_ASM1774268v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/742/685/GCF_017742685.1_ASM1774268v1"
"Staphylococcus hominis","Bacteria;Terrabacteria group;Firmicutes","1137_SHAE","SAMN03197091","PRJNA267549","GCA_001068725.1","Scaffold",2.26795,31.3,,"JWBV01",89,2205,"2015-07-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/068/725/GCA_001068725.1_ASM106872v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/068/725/GCF_001068725.1_ASM106872v1"
"Staphylococcus hominis","Bacteria;Terrabacteria group;Firmicutes","437_SHAE","SAMN03197630","PRJNA267549","GCA_001072955.1","Contig",2.27204,31.3,,"JVHC01",49,2188,"2015-07-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/072/955/GCA_001072955.1_ASM107295v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/072/955/GCF_001072955.1_ASM107295v1"
